REGIAO:;SE
UF:;RJ
ESTACAO:;RIO DE JANEIRO-MARAMBAIA
CODIGO (WMO):;A602
LATITUDE:;-23,05027777
LONGITUDE:;-43,59555555
ALTITUDE:;12
DATA DE FUNDACAO:;08/11/02
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1014,8;1014,8;1014,6;;24,6;24,2;24,7;24,3;;;;;98;87;7,6;3,3;
2024/01/01;0100 UTC;0;1015,4;1015,4;1014,8;;24,6;22,6;24,7;24,5;24,3;22,6;98;89;89;79;7,9;2,1;
2024/01/01;0200 UTC;0;1015,2;1015,5;1015,2;;23,9;;24,6;23,9;;;;;;116;5,9;1,4;
2024/01/01;0300 UTC;0;1014,8;1015,2;1014,8;;23,6;;24;23,5;;;;;;165;2,5;2;
2024/01/01;0400 UTC;0;1014,2;1014,9;1014,2;;23;;23,5;23;;;;;;90;3,1;1,7;
2024/01/01;0500 UTC;0;1013,7;1014,2;1013,7;;22,8;;23,1;22,7;;;;;;122;2,6;,6;
2024/01/01;0600 UTC;0;1013,3;1013,7;1013,3;;22,6;;22,8;21,8;;;;;;144;2,8;1,8;
2024/01/01;0700 UTC;0;1013,2;1013,3;1013;;22,3;;23;21,9;;;;;;113;2,5;1,2;
2024/01/01;0800 UTC;0;1013,6;1013,6;1013,2;;21,6;;22,3;21,5;;;;;;356;2,6;1,1;
2024/01/01;0900 UTC;0;1014;1014;1013,6;100,5;22,5;;22,5;21,5;;;;;;342;2,2;,4;
2024/01/01;1000 UTC;0;1013,8;1014,2;1013,8;556,2;24,4;;24,5;22,5;;;;;;17;2,6;1,5;
2024/01/01;1100 UTC;0;1014,2;1014,3;1013,8;828,5;24,3;;24,7;24,1;;;;;;161;3;2,2;
2024/01/01;1200 UTC;0;1014,5;1014,6;1014,2;841,3;24,8;;24,8;23,7;;;;;;126;4,3;3;
2024/01/01;1300 UTC;0;1014,9;1015;1014,5;549,4;24,4;;24,9;24,3;;;;;;134;4,3;2,5;
2024/01/01;1400 UTC;0;1014,6;1015;1014,6;1107,6;26,3;;26,4;24,4;;;;;;110;5,3;3,5;
2024/01/01;1500 UTC;0;1014,1;1014,6;1014,1;2139,8;27,2;23,9;27,9;26;26,9;23,8;100;81;82;94;6,9;3;
2024/01/01;1600 UTC;0;1013,9;1014,2;1013,7;2297,1;25,8;24,1;28;25,8;25;22,9;90;77;90;121;7,9;5,3;
2024/01/01;1700 UTC;0;1013,1;1013,9;1013,1;865,8;25,2;;25,9;25,2;25,6;24,1;100;90;;89;7,9;3,8;
2024/01/01;1800 UTC;0;1012,5;1013,1;1012,5;347,3;24,9;;25,3;24,9;;;;;;89;7,1;3,8;
2024/01/01;1900 UTC;0;1012,1;1012,5;1012;299;24,4;;24,9;24,4;;;;;;84;8,1;3,4;
2024/01/01;2000 UTC;0;1012;1012,2;1012;285,4;24,2;;24,5;24;;;;;;77;6,8;3,6;
2024/01/01;2100 UTC;0;1012,3;1012,3;1012;190,7;23,9;;24,2;23,9;;;;;;80;7,7;3;
2024/01/01;2200 UTC;0;1012,6;1012,6;1012,3;40,9;23,6;;23,9;23,6;;;;;;85;6,6;3,3;
2024/01/01;2300 UTC;0;1013;1013;1012,6;;23,5;;23,6;23,5;;;;;;75;5,8;2,1;
2024/01/02;0000 UTC;0;1013,3;1013,3;1013;;23,3;;23,6;23,3;;;;;;104;3,7;1,2;
2024/01/02;0100 UTC;0;1013,9;1013,9;1013,3;;23,3;;23,3;23;;;;;;101;2;,8;
2024/01/02;0200 UTC;0;1013,7;1014,1;1013,7;;23,4;;23,4;23,2;;;;;;85;3,4;2,1;
2024/01/02;0300 UTC;0;1013,5;1013,7;1013,5;;23,5;;23,5;23,3;;;;;;101;5,7;3,2;
2024/01/02;0400 UTC;0;1012,9;1013,6;1012,9;;23,3;;23,5;23,3;;;;;;93;5,7;2,7;
2024/01/02;0500 UTC;0;1012,1;1012,9;1012,1;;23;;23,3;22,6;;;;;;95;5,9;3,6;
2024/01/02;0600 UTC;0;1011,6;1012,1;1011,5;;22,8;;23,2;22,6;;;;;;42;5,9;,9;
2024/01/02;0700 UTC;0;1011,9;1011,9;1011,5;;22,8;;22,9;22,7;;;;;;228;1,5;,3;
