REGIAO:;SE
UF:;RJ
ESTACAO:;RIO CLARO
CODIGO (WMO):;A626
LATITUDE:;-22,653579
LONGITUDE:;-44,040916
ALTITUDE:;516
DATA DE FUNDACAO:;03/06/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;959;959;958,4;;20,2;17,5;20,3;20,1;17,6;17,3;85;83;84;;;;
2024/01/01;0100 UTC;0;959,3;959,3;959;;20,2;17,7;20,3;20,2;17,8;17,4;86;84;86;;;;
2024/01/01;0200 UTC;0;959,3;959,5;959,3;;20,2;17,7;20,3;20,2;17,8;17,7;86;85;85;;;;
2024/01/01;0300 UTC;0;958,9;959,3;958,9;;20;17,8;20,3;20;17,8;17,7;87;85;87;;;;
2024/01/01;0400 UTC;0;958,2;958,9;958,2;;19,8;17,9;20;19,7;18;17,8;90;87;89;;;;
2024/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0600 UTC;0;957,4;957,8;957,4;;19,3;17,9;19,5;19,3;17,9;17,7;92;89;92;;;;
2024/01/01;0700 UTC;0;957,3;957,4;957,2;;19,1;17,7;19,4;19,1;18;17,7;92;91;92;;;;
2024/01/01;0800 UTC;0;957,8;957,8;957,3;;18,9;17,1;19,2;18,9;17,7;17;92;88;89;;;;
2024/01/01;0900 UTC;0;957,9;958;957,7;21,3;19;17;19,1;18,7;17,6;16,9;91;87;88;;;;
2024/01/01;1000 UTC;0;958,2;958,3;957,8;167,2;19,4;17,1;19,4;18,9;17,3;16,8;90;85;87;;;;
2024/01/01;1100 UTC;0;958,2;958,3;958;521,8;20,6;17,2;20,8;19,4;17,8;16,6;87;80;81;;;;
2024/01/01;1200 UTC;0;959;959;958;506,2;20,3;17,5;21,1;20,3;18;16,4;84;76;84;;;;
2024/01/01;1300 UTC;0;958,8;959;958,7;922,2;21,5;17;21,8;20,2;18,2;16,8;86;74;75;;;;
2024/01/01;1400 UTC;0;958,7;959;958,7;764,6;21,3;17,5;22;21,2;18;16,9;80;75;79;;;;
2024/01/01;1500 UTC;0;958,2;958,8;958,1;743,3;22,1;18,2;22,3;21;18,5;17,2;81;76;79;;;;
2024/01/01;1600 UTC;0;957,9;958,3;957,9;720,5;21,9;18,4;22,2;21,5;18,7;17,5;82;76;81;;;;
2024/01/01;1700 UTC;0;957,1;957,9;957,1;512,1;21,3;18,5;22,2;21,3;18,7;17;84;74;84;;;;
2024/01/01;1800 UTC;0;956,8;957,2;956,8;456,1;21,1;18;21,5;21;18,8;17,4;85;79;83;;;;
2024/01/01;1900 UTC;0;956,3;956,8;956,3;346,1;20,9;17,4;21,2;20,8;18,2;16,7;84;77;80;;;;
2024/01/01;2000 UTC;0;956,2;956,3;956,2;197,9;20,5;17,2;20,9;20,5;17,6;16,9;82;79;82;;;;
2024/01/01;2100 UTC;0;956,5;956,5;956,2;110,2;20,5;17,4;20,6;20,5;17,5;17;83;80;83;;;;
2024/01/01;2200 UTC;0;956,8;956,8;956,4;66,2;20,3;17,1;20,7;20,3;17,5;17;83;80;82;;;;
2024/01/01;2300 UTC;0;957,3;957,3;956,8;;20,1;17,3;20,3;20,1;17,4;17,1;84;82;84;;;;
2024/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/02;0100 UTC;0;958;958;957,5;;19,7;17,8;19,8;19,7;17,9;17,7;89;87;89;;;;
2024/01/02;0200 UTC;0;957,9;958,2;957,9;;19,7;17,8;19,8;19,7;17,9;17,7;89;88;89;;;;
2024/01/02;0300 UTC;0;957,7;957,9;957,6;;19,6;18;19,7;19,5;18,1;17,8;91;89;90;;;;
2024/01/02;0400 UTC;0;956,9;957,7;956,9;;19,6;17,9;19,8;19,6;18;17,8;90;89;90;;;;
2024/01/02;0500 UTC;0;956,2;956,9;956,2;;19,4;18,1;19,6;19,4;18,2;18;92;90;92;;;;
2024/01/02;0600 UTC;0;955,9;956,2;955,8;;19,4;18,2;19,5;19,4;18,3;18,1;93;92;93;;;;
2024/01/02;0700 UTC;0;955,7;955,9;955,5;;19,4;18,1;19,5;19,4;18,2;18,1;93;92;92;;;;
2024/01/02;0800 UTC;0;956,1;956,3;955,7;;19,4;18,2;19,4;19,3;18,2;18,1;93;92;93;;;;
2024/01/02;0900 UTC;0;956,4;956,4;956,1;20,8;19,6;18,1;19,6;19,4;18,2;18,1;93;92;92;;;;
2024/01/02;1000 UTC;0;956,6;956,6;956,3;292,8;20,4;18,6;20,4;19,5;18,6;18,1;92;89;90;;;;
2024/01/02;1100 UTC;0;956,6;956,8;956,6;770,3;21,7;18,8;22;20,4;19,2;18,3;90;81;84;;;;
2024/01/02;1200 UTC;0;956,5;956,7;956,4;1347,7;22,5;18,8;23,9;21,7;19,8;18;84;76;80;;;;
2024/01/02;1300 UTC;0;956,2;956,6;956,2;1402,7;24,3;19,5;24,6;22,4;20,4;18,5;82;73;75;;;;
2024/01/02;1400 UTC;0;955,7;956,2;955,7;1934,8;25,5;19,7;25,6;23,7;20,2;18,7;76;69;70;;;;
2024/01/02;1500 UTC;0;954,9;955,7;954,9;2541,9;26,4;19,6;27,7;25,3;21,4;19;72;62;66;;;;
2024/01/02;1600 UTC;0;954,5;955;954,5;1316,4;26,3;20,3;26,4;25,6;20,5;19,3;73;66;69;;;;
2024/01/02;1700 UTC;0;953,8;954,5;953,8;1699,8;25,9;20,1;28,8;25,7;22;19,4;73;63;70;;;;
2024/01/02;1800 UTC;0;953,5;953,8;953,4;1287,9;26,8;20,5;27,1;25,9;21,1;19,6;72;66;68;;;;
2024/01/02;1900 UTC;0;952,6;953,5;952,6;1668,1;27;20,4;27,8;26,1;21,4;19,8;72;65;67;;;;
2024/01/02;2000 UTC;0;952,5;952,7;952,4;1222,7;25,8;20,2;27,3;25,8;21,1;19,9;72;66;71;;;;
2024/01/02;2100 UTC;0;953,2;953,2;952,5;111,2;24,9;20,4;25,8;24,9;20,4;19,8;76;71;76;;;;
2024/01/02;2200 UTC;0;953,9;954;953,1;23,5;23,2;20,5;24,8;23,2;20,6;20,3;85;76;85;;;;
2024/01/02;2300 UTC;1;954,8;954,8;953,9;;22,2;20,7;23,2;22,2;20,8;20,5;91;85;91;;;;
2024/01/03;0000 UTC;,6;955,2;955,2;954,8;;21,9;20,8;22,2;21,9;20,9;20,7;93;91;93;;;;
2024/01/03;0100 UTC;,2;955,9;955,9;955,2;;21,5;20,6;21,9;21,5;20,7;20,5;94;93;94;;;;
2024/01/03;0200 UTC;1,6;955,7;955,9;955,6;;21,4;20,5;21,6;21,4;20,6;20,5;95;94;95;;;;
2024/01/03;0300 UTC;1,2;955;955,7;955;;21,3;20,4;21,4;21,3;20,5;20,4;95;95;95;;;;
2024/01/03;0400 UTC;,4;954,3;955,1;954,3;;21,1;20,3;21,3;21,1;20,5;20,3;95;95;95;;;;
2024/01/03;0500 UTC;0;953,6;954,3;953,6;;21,1;20,3;21,2;21,1;20,4;20,3;95;95;95;;;;
2024/01/03;0600 UTC;0;953,4;953,6;953,3;;21,2;20,4;21,2;21;20,4;20,2;95;95;95;;;;
2024/01/03;0700 UTC;0;953,4;953,5;953,4;;21,2;20,4;21,4;21,1;20,5;20,3;95;95;95;;;;
2024/01/03;0800 UTC;0;953,7;953,7;953,3;;21,2;20,2;21,4;21,1;20,4;20,2;95;94;94;;;;
2024/01/03;0900 UTC;0;954;954;953,7;35,8;21,4;20,6;21,4;21,2;20,6;20,3;95;94;95;;;;
2024/01/03;1000 UTC;1,2;954,6;954,6;954;130,1;21,6;20,6;21,6;21,4;20,7;20,3;95;94;94;;;;
2024/01/03;1100 UTC;0;954,7;954,7;954,6;381,1;22,2;20,9;22,2;21,5;21;20,5;94;92;92;;;;
2024/01/03;1200 UTC;0;954,7;954,7;954,5;938,7;23,8;21;23,9;22,2;21,9;21;93;84;84;;;;
2024/01/03;1300 UTC;0;954,6;954,8;954,5;1388,4;24,8;21,3;24,8;23,5;21,7;20,6;85;81;81;;;;
2024/01/03;1400 UTC;0;954;954,6;954;1863,9;26,4;21,8;26,5;24,5;22,9;20,8;84;74;76;;;;
2024/01/03;1500 UTC;0;953,1;954;953,1;2622,9;28,3;22,1;28,7;26;24,1;21,1;79;69;69;;;;
2024/01/03;1600 UTC;0;952,4;953,1;952,4;3352,4;28,1;21,9;29,3;27,8;24,1;21,5;76;66;69;;;;
2024/01/03;1700 UTC;0;951,7;952,4;951,7;2462,3;28,9;22,5;29,7;28,1;23,9;21,5;73;65;68;;;;
2024/01/03;1800 UTC;,6;951,4;951,7;951,3;1207,6;25,9;23,5;28,9;25,7;23,7;21,9;87;66;86;;;;
2024/01/03;1900 UTC;0;951,2;951,4;951,1;517,6;25,8;23;26,4;25,7;23,6;22,5;88;79;84;;;;
2024/01/03;2000 UTC;0;951,4;951,4;951,2;416,7;25;22,6;26,2;25;23,7;22,6;89;85;87;;;;
2024/01/03;2100 UTC;0;951,6;951,6;951,4;183,7;24,2;22,4;25;24,2;22,7;22,2;89;87;89;;;;
2024/01/03;2200 UTC;0;952,4;952,4;951,6;14,4;23,3;21,9;24,2;23,3;22,4;21,9;92;89;92;;;;
2024/01/03;2300 UTC;16;953,1;953,2;952,4;;21,9;20,6;23,4;21,9;22,1;20,6;93;91;92;;;;
