REGIAO:;SE
UF:;RJ
ESTACAO:;ANGRA DOS REIS
CODIGO (WMO):;A628
LATITUDE:;-22,97555554
LONGITUDE:;-44,30333333
ALTITUDE:;6
DATA DE FUNDACAO:;25/08/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1016,6;1016,6;1016,1;;22,6;20,7;22,7;22,5;21;20,7;90;89;89;331;2,7;1,4;
2024/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0200 UTC;2;1017;1017,3;1017;;21,5;20,8;22,6;21,5;21;20,4;96;90;96;197;3,1;0;
2024/01/01;0300 UTC;0;1016,6;1017,1;1016,6;;21,5;20;21,7;21,3;21;19,9;96;91;91;110;1,8;0;
2024/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0500 UTC;0;1015,3;1015,9;1015,3;;21,1;20;21,5;21,1;20,2;19,9;93;91;93;144;1,5;0;
2024/01/01;0600 UTC;0;1014,6;1015,3;1014,6;;21,3;19,6;21,4;21,1;20,1;19,5;94;89;90;92;1,4;0;
2024/01/01;0700 UTC;0;1014,6;1014,6;1014,3;;21,1;19,1;21,3;20,9;19,6;19;90;88;89;90;1,6;0;
2024/01/01;0800 UTC;0;1014,8;1015;1014,6;;20,5;19,2;21,1;20,5;19,5;19,1;93;89;92;123;1,2;0;
2024/01/01;0900 UTC;0;1015,1;1015,3;1014,8;63,7;21;19,4;21;20,5;19,4;19,1;93;90;91;109;1,4;0;
2024/01/01;1000 UTC;0;1015,6;1015,6;1015;219,2;21,7;19,5;21,7;21;19,6;19,2;91;87;88;91;1,2;0;
