REGIAO:;SE
UF:;RJ
ESTACAO:;SANTA MARIA MADALENA
CODIGO (WMO):;A630
LATITUDE:;-21,95055555
LONGITUDE:;-42,01027777
ALTITUDE:;586
DATA DE FUNDACAO:;16/10/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;953;953;952,4;0;18;13,9;18,2;17,8;15,3;13,9;84;77;77;221;6,4;1,2;
2024/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0200 UTC;0;952,9;953,2;952,9;;18,1;14,8;18,3;17,9;14,9;14;82;76;81;215;3,8;,1;
2024/01/01;0300 UTC;0;952,5;952,9;952,3;;17,9;15,2;18,4;17,9;15,4;14,3;85;77;84;205;2,6;0;
2024/01/01;0400 UTC;0;951,9;952,5;951,9;;18;15,8;18,1;17,9;16;15,1;88;83;86;215;1,7;0;
2024/01/01;0500 UTC;0;951,2;951,9;951,2;;18,7;15,4;18,7;18;15,9;15,4;87;81;81;199;4,1;,8;
2024/01/01;0600 UTC;0;951,1;951,2;951;;18,7;15,7;19;18,7;15,7;15;83;78;83;208;5,7;0;
2024/01/01;0700 UTC;0;951,1;951,2;951;;18,4;16,6;18,7;18,2;16,6;15,7;90;83;89;218;1,3;0;
2024/01/01;0800 UTC;0;951,3;951,3;951;;18,7;15,7;18,9;18,4;16,6;15,6;89;81;83;224;2,9;,5;
2024/01/01;0900 UTC;0;951,8;951,8;951,2;53,4;18,9;16,3;18,9;18,4;16,4;15,7;87;82;85;226;2,9;,2;
2024/01/01;1000 UTC;0;952,4;952,4;951,8;121,5;19;16,7;19,1;18,8;16,9;16,2;88;84;86;190;2;0;
2024/01/01;1100 UTC;0;952,6;952,7;952,3;115,5;19;17;19,2;18,7;17,3;16,7;91;86;88;326;2,2;,1;
2024/01/01;1200 UTC;,2;952,3;952,6;952,3;389,3;19,2;17,3;19,4;19;17,4;16,6;89;84;88;214;1,8;0;
