REGIAO:;SE
UF:;SP
ESTACAO:;SAO CARLOS
CODIGO (WMO):;A711
LATITUDE:;-21,980353
LONGITUDE:;-47,883927
ALTITUDE:;859,29
DATA DE FUNDACAO:;04/09/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;918,8;918,8;918,2;;24,1;17,3;24,1;23,1;19,6;17,3;80;66;66;148;4,6;1,7;
2024/01/01;0100 UTC;0;919,6;919,6;918,8;;22,6;17,1;24,1;22,6;17,2;17,1;71;66;71;147;6,7;2;
2024/01/01;0200 UTC;0;919,5;919,9;919,5;;21,4;17,1;22,6;21,4;17,2;17,1;77;71;77;126;4,3;1,1;
2024/01/01;0300 UTC;0;919,6;919,6;919,3;;20,6;17;21,4;20,6;17,1;16,9;80;77;80;165;5,9;1,2;
2024/01/01;0400 UTC;0;919,2;919,6;919,1;;20,1;17;20,6;20,1;17;16,9;82;80;82;138;4,8;1,7;
2024/01/01;0500 UTC;0;918,6;919,3;918,6;;19,7;17;20,1;19,7;17;16,9;84;82;84;126;4,5;1,7;
2024/01/01;0600 UTC;0;918,4;919;918,4;;19,5;16,9;19,7;19,5;17;16,9;85;84;85;213;4,5;1;
2024/01/01;0700 UTC;0;918;918,4;918;;19,5;17;19,6;19,5;17,1;16,9;85;85;85;269;3,9;1,6;
2024/01/01;0800 UTC;0;918,1;918,2;917,9;;19,6;17,4;19,6;19,4;17,4;16,9;87;85;87;255;3,9;,8;
2024/01/01;0900 UTC;0;918,4;918,5;918,1;8;20;18;20;19,6;18;17,4;89;87;89;276;3;1,1;
2024/01/01;1000 UTC;0;919,1;919,1;918,4;195;20,4;18,1;20,5;19,9;18,2;17,8;89;86;86;256;2,9;,7;
2024/01/01;1100 UTC;0;919,6;919,6;919,1;428,3;21,3;18,5;21,4;20,4;18,6;18;86;84;84;281;3,4;1,8;
2024/01/01;1200 UTC;0;919,9;920;919,5;940,4;22;18,2;22,3;21,3;18,9;18,1;84;78;79;301;4,6;2,5;
2024/01/01;1300 UTC;0;920;920,1;919,9;1246,9;22,9;18,7;23,3;21,9;19,3;18,1;80;75;77;301;5,3;2,3;
2024/01/01;1400 UTC;0;920;920;919,9;1514,6;23,7;19,2;23,7;22,5;19,3;18,1;78;75;76;303;5,6;2,7;
2024/01/01;1500 UTC;0;919,6;920;919,6;2614;24,5;19,3;26,1;23,6;20,7;18,7;76;69;73;45;5,6;2,1;
2024/01/01;1600 UTC;0;918,8;919,6;918,8;1559,6;25,1;19,6;25,5;24;20,5;18,8;76;71;71;328;5,3;1,5;
2024/01/01;1700 UTC;0;917,7;918,8;917,7;1953,8;25,9;19,6;26;24,9;20,4;19;73;68;68;302;5,3;1,2;
2024/01/01;1800 UTC;0;916,8;917,7;916,8;2378,1;27,1;18,6;27,2;25,4;20,5;18,6;71;60;60;303;4,2;1,6;
2024/01/01;1900 UTC;4,6;916,9;916,9;916,3;1070,6;21,4;19,7;28;21,3;20,1;18,1;90;58;90;311;6;2,5;
2024/01/01;2000 UTC;,2;916,2;916,9;916,2;1640,7;24,7;19,7;24,7;21,4;21,1;19,1;91;72;73;302;6,3;1,6;
2024/01/01;2100 UTC;0;915,9;916,2;915,9;439;24,9;19,6;25,2;24,8;20,3;18,5;75;68;72;300;3,4;1,2;
2024/01/01;2200 UTC;0;916,4;916,4;915,9;74,5;23,4;19,8;24,9;23,4;19,9;19,4;80;72;80;288;2,8;,5;
2024/01/01;2300 UTC;0;917,2;917,2;916,4;;22,1;20,1;23,4;21,6;20,1;19,6;90;80;88;301;1,5;,6;
2024/01/02;0000 UTC;0;918,1;918,1;917,2;;21,8;19,7;22,3;21,7;20;19,5;88;86;88;278;1,7;0;
2024/01/02;0100 UTC;0;918,8;918,8;918,1;;22,6;19,5;22,9;21,8;20,2;19,5;89;82;82;241;3,1;,2;
2024/01/02;0200 UTC;0;918,9;919;918,8;;22,1;19,2;22,6;22,1;19,4;19,1;84;81;84;188;2,6;,2;
2024/01/02;0300 UTC;0;919,1;919,1;918,9;;21,6;19,1;22,1;21,6;19,2;18,9;85;84;85;275;2,4;0;
2024/01/02;0400 UTC;0;918,4;919;918,4;;21,5;19,1;21,7;21,5;19,2;19;86;85;86;295;2,1;,5;
2024/01/02;0500 UTC;0;917,9;918,5;917,9;;20,7;18,7;21,6;20,7;19,2;18,7;88;86;88;294;2,1;,2;
2024/01/02;0600 UTC;0;917,7;917,9;917,5;;20,1;18,4;20,7;20;18,7;18,2;91;88;90;298;2,7;,7;
2024/01/02;0700 UTC;0;917,6;917,7;917,5;;19,8;18,2;20,1;19,8;18,4;18,1;91;90;90;294;2,6;,9;
2024/01/02;0800 UTC;0;918,1;918,1;917,6;;19,5;18,1;19,8;19,4;18,2;18;92;90;92;342;3,5;,6;
2024/01/02;0900 UTC;0;918,5;918,6;918;15,7;19,3;18;19,5;19,2;18;17,9;92;92;92;302;3;1;
2024/01/02;1000 UTC;0;918,7;918,7;918,5;484,4;21,4;18,8;21,4;19,3;18,9;18;92;85;85;343;5,1;2;
2024/01/02;1100 UTC;0;918,9;919;918,7;1030,9;22,6;19,1;22,6;21;19,2;18,3;85;81;81;303;7;3;
2024/01/02;1200 UTC;0;918,6;918,9;918,6;2293,1;24,7;19,8;24,7;22,6;20,1;18,7;81;73;74;319;7;2,2;
2024/01/02;1300 UTC;0;917,9;918,6;917,9;2618,8;25,8;19,5;26;23,6;20,2;18,5;75;67;68;290;5,8;2,4;
2024/01/02;1400 UTC;0;917,4;917,8;917,4;2974,6;26,8;18,9;27,9;24,7;20,6;18,5;72;61;62;312;6,2;1,7;
2024/01/02;1500 UTC;0;916,9;917,4;916,9;3273,4;28,3;19;28,5;26,3;19,7;17,9;64;56;57;321;6,5;2,1;
2024/01/02;1600 UTC;0;916,3;916,9;916,3;2628,8;29,1;17,3;29,5;27;19,8;16,9;61;49;49;254;5,3;1;
2024/01/02;1700 UTC;0;915,4;916,3;915,4;2586,7;29,2;16,5;30,2;28,1;18,7;16,1;56;45;46;319;4,4;1,1;
2024/01/02;1800 UTC;0;914,4;915,4;914,4;1237,3;28,6;17,1;30,4;28,3;17,8;15,6;51;43;50;216;2,7;,3;
2024/01/02;1900 UTC;0;913,5;914,4;913,5;987;29,9;16,4;29,9;28,5;17,6;15,6;50;44;44;291;3,2;,8;
2024/01/02;2000 UTC;0;913,7;914;913,5;493,1;27,3;17,9;30,2;27,2;18,3;15,3;58;41;57;135;7,4;2,7;
2024/01/02;2100 UTC;0;913,7;913,9;913,6;749,3;27,9;18;27,9;27,1;18,2;17,5;57;54;55;221;6,2;1,4;
2024/01/02;2200 UTC;0;914,7;914,7;913,7;104,7;26;19;27,9;25,8;19,3;17,7;68;54;65;231;4,2;0;
2024/01/02;2300 UTC;0;915,5;915,5;914,7;;25,6;17;26,2;25,6;18,9;16,6;65;56;59;294;2,1;,7;
2024/01/03;0000 UTC;0;916,5;916,6;915,5;;25,2;18,4;25,6;24,8;18,4;17;67;59;66;144;5;,8;
2024/01/03;0100 UTC;,4;917;917;916,5;;21,6;19,5;25,1;21,6;19,5;18,4;88;66;88;313;4,7;1,1;
2024/01/03;0200 UTC;1;917;917,2;916,9;;21,4;20,2;21,5;21,1;20,2;19,5;93;88;93;244;2,6;,3;
2024/01/03;0300 UTC;0;917;917,1;916,9;;21,3;19,7;21,5;21,3;20,2;19,5;93;90;90;75;2,8;0;
2024/01/03;0400 UTC;0;916,7;917;916,7;;20,9;19,3;21,4;20,9;19,7;19,3;91;90;91;298;2,7;,7;
2024/01/03;0500 UTC;0;916,2;916,7;916,2;;20,9;19,3;21;20,9;19,4;19,3;91;90;90;278;2,4;,3;
2024/01/03;0600 UTC;0;916;916,2;915,8;;20,8;19,3;21;20,8;19,6;19,2;92;90;91;184;2,2;,1;
2024/01/03;0700 UTC;0;915,6;916;915,6;;20,8;19,2;21;20,7;19,4;19,2;91;91;91;282;2,8;,2;
2024/01/03;0800 UTC;0;916;916;915,6;;21,1;19,4;21,1;20,5;19,4;19;92;90;90;343;4;1,5;
2024/01/03;0900 UTC;0;916,8;916,8;916;18,1;21;19,3;21,1;20,9;19,4;19,1;90;89;90;343;4;1,2;
2024/01/03;1000 UTC;0;917,3;917,3;916,8;314;22,1;19,8;22,1;21;19,8;19,3;90;87;87;342;4,3;1,8;
2024/01/03;1100 UTC;0;917,4;917,6;917,3;846;23,2;20,1;23,4;22;20,5;19,8;87;82;82;338;5,7;1,8;
2024/01/03;1200 UTC;,2;917,5;917,5;917,4;1067,8;23,5;20,2;23,7;23;20,6;19,8;84;81;82;336;5,8;1,7;
2024/01/03;1300 UTC;0;917,4;917,6;917,4;2629;25,7;20,6;25,9;23,5;21,3;19,9;82;73;74;17;5,4;2;
2024/01/03;1400 UTC;0;917;917,5;917;2857,7;26,3;20,4;26,8;25,4;21,2;20;74;68;70;1;6,3;1,7;
2024/01/03;1500 UTC;0;916,8;917,1;916,8;2576;27;21,2;27,3;26;21,7;20,2;73;68;70;312;6,2;1,6;
2024/01/03;1600 UTC;0;916;916,8;916;2475,7;28,4;21,3;28,4;26,6;21,6;19,9;71;63;66;320;3,8;,7;
2024/01/03;1700 UTC;0;915,1;916;915,1;3301,5;29,9;19,4;30,6;27,8;21,5;19,1;66;53;53;291;4,5;1,3;
2024/01/03;1800 UTC;0;913,9;915,1;913,9;3163,7;30,8;18,2;30,8;28,5;20,8;17,9;60;47;47;282;4,6;1,3;
2024/01/03;1900 UTC;0;913,1;913,9;913,1;2237,8;28,8;19,6;31,4;28,8;19,6;16,3;58;42;58;238;4,6;1,1;
2024/01/03;2000 UTC;7,6;914,3;914,3;913,1;192,8;21,1;18,8;28,8;20,9;20;18,1;87;58;87;126;11,5;5,2;
2024/01/03;2100 UTC;10,4;914,4;914,6;913,8;35,4;20,7;19,6;21,2;20,3;19,7;18,8;93;87;93;9;9,7;,5;
2024/01/03;2200 UTC;,4;915,5;915,5;914,4;34,2;21,2;20;21,4;20,7;20,2;19,5;93;92;93;279;3;,3;
2024/01/03;2300 UTC;0;917;917,1;915,5;;20,7;19,4;21,6;20,7;20,5;19,4;93;93;93;295;3,1;,8;
2024/01/04;0000 UTC;,2;917,3;917,3;916,7;;21,2;20;21,3;20,6;20,1;19,4;93;93;93;241;2,7;0;
2024/01/04;0100 UTC;,2;918,1;918,1;917,3;;21,1;19,8;21,3;21;20,1;19,7;93;92;92;159;9;3,8;
2024/01/04;0200 UTC;,2;918,3;918,4;918;;20,4;19,1;21,1;20,4;19,8;18,9;92;90;92;219;9,5;1;
2024/01/04;0300 UTC;1,8;917,4;918,3;917,4;;20,1;19;20,5;20,1;19,1;19;93;92;93;264;5,2;1,7;
2024/01/04;0400 UTC;,6;916,9;917,5;916,8;;20;18,6;20,1;19,9;18,9;18,5;93;91;91;299;7;3,3;
2024/01/04;0500 UTC;0;916,7;916,9;916,7;;19,9;18,6;20,1;19,9;18,7;18,5;92;91;92;201;6,3;,6;
2024/01/04;0600 UTC;0;916;916,7;916;,9;20,1;18,3;20,1;19,9;18,7;18,3;92;90;90;129;4,3;1,2;
2024/01/04;0700 UTC;0;915,8;916;915,6;;20,1;18,1;20,2;20;18,3;18;90;88;88;128;4,8;,6;
2024/01/04;0800 UTC;0;916;916,1;915,8;;19,8;18,2;20,1;19,8;18,2;18;91;88;91;122;6,5;1,5;
2024/01/04;0900 UTC;0;917;917;916;10,8;20;18,5;20,1;19,8;18,5;18,3;91;91;91;121;6,5;1,3;
2024/01/04;1000 UTC;0;917,6;917,6;917;299,5;20,7;18,6;20,7;19,9;18,7;18,4;91;88;88;244;4,3;1,1;
2024/01/04;1100 UTC;0;918,1;918,1;917,6;526,4;21,6;18,8;21,6;20,6;18,9;18,4;88;84;84;243;4,5;1,1;
2024/01/04;1200 UTC;0;918,3;918,3;918,1;1766,5;24;19,1;24,4;21,5;20;18,3;85;73;74;184;6,6;1,7;
2024/01/04;1300 UTC;0;918;918,3;918;2183,1;23,8;18,7;25,1;23,4;20,1;18,2;75;70;73;274;6,3;2;
2024/01/04;1400 UTC;0;917,8;918,2;917,8;2150,5;25,7;19,4;26,1;23,8;20,2;18,6;74;66;68;167;5,2;1,3;
2024/01/04;1500 UTC;0;917,4;917,9;917,4;3303,2;26;18,6;27;25,1;20,1;18,4;70;62;64;149;5,1;1,6;
2024/01/04;1600 UTC;0;917;917,4;917;3486,3;27,2;19,1;27,5;25,8;19,8;18,4;67;60;61;174;4,5;1,2;
2024/01/04;1700 UTC;0;916,2;917;916,2;2992,2;26,8;18,1;28,9;26,8;20,1;17,8;62;54;59;125;4,7;1,8;
2024/01/04;1800 UTC;0;915,5;916,2;915,5;2681,2;28,3;19,6;28,9;26,8;19,6;17,7;61;53;59;134;4,4;1,4;
2024/01/04;1900 UTC;0;915,2;915,5;915,2;2027;28,1;18,2;29;27,4;19,5;17,3;59;51;55;145;6;2,3;
2024/01/04;2000 UTC;0;914,8;915,3;914,7;1454;27,4;17,7;28,3;26,9;19;17,5;58;54;55;128;6,9;1,6;
2024/01/04;2100 UTC;0;915,2;915,2;914,8;421,9;27,4;17;27,8;27,3;17,5;16;56;49;53;182;4,9;1,4;
2024/01/04;2200 UTC;0;915,8;915,8;915,2;72,4;26,4;17,3;27,5;26,4;17,3;16,6;57;52;57;204;4,7;1,4;
2024/01/04;2300 UTC;0;916,8;916,8;915,8;;24,9;18,6;26,5;24,9;18,6;17,2;68;57;68;161;7,8;3,5;
2024/01/05;0000 UTC;0;917,4;917,4;916,8;;23,3;18,6;24,9;23,3;18,7;18,6;75;68;75;119;8,5;2,8;
2024/01/05;0100 UTC;0;918,1;918,1;917,4;;21,9;18,3;23,2;21,9;18,7;18,3;80;76;80;128;8,8;2,9;
2024/01/05;0200 UTC;0;918,5;918,5;918,1;;20,9;18;21,9;20,9;18,3;18;84;80;84;126;7,3;2,9;
2024/01/05;0300 UTC;0;918,1;918,5;918,1;;20,1;17,9;20,9;20;18;17,8;87;84;87;112;6,9;1,2;
2024/01/05;0400 UTC;0;917,6;918,1;917,6;;19,7;17,8;20,1;19,7;17,9;17,7;89;87;89;115;5,7;,8;
2024/01/05;0500 UTC;0;917,2;917,6;917,2;;19,3;17,6;19,7;19,3;17,8;17,6;90;89;90;121;4,8;1,8;
2024/01/05;0600 UTC;0;916,9;917,2;916,8;;19,2;17,4;19,4;19,2;17,7;17,4;90;89;89;131;4,8;1;
2024/01/05;0700 UTC;0;916,6;916,9;916,4;;18,8;17,3;19,2;18,7;17,4;17,2;91;89;91;124;3,1;1,1;
2024/01/05;0800 UTC;0;917,1;917,1;916,5;;18,5;17,2;18,8;18,5;17,3;17,1;92;91;92;112;3,6;1,1;
2024/01/05;0900 UTC;0;917,7;917,7;917,1;16,5;18,5;17,2;18,5;18,4;17,2;17;92;92;92;121;4;,7;
2024/01/05;1000 UTC;0;917,9;918;917,7;461,6;20,6;17,9;20,6;18,5;18,5;17,2;92;85;85;120;3,2;1,3;
2024/01/05;1100 UTC;0;918,1;918,1;917,9;1447,2;23,2;18,2;23,3;20,6;18,7;17,9;85;73;73;243;3,3;1,5;
2024/01/05;1200 UTC;0;918,4;918,5;918,1;2303,4;25,4;18;25,6;23,2;19,1;17,8;75;64;64;227;3,3;,8;
2024/01/05;1300 UTC;0;918,4;918,6;918,4;2980,3;26,6;19,4;27;25,2;19,8;17,9;69;61;65;206;2,9;,4;
2024/01/05;1400 UTC;0;917,9;918,4;917,9;3351,3;28,9;19,3;28,9;25,9;19,8;17,3;66;53;56;206;2,7;,3;
2024/01/05;1500 UTC;0;917,4;917,9;917,4;3245,4;28,9;14,2;29,7;27,2;19,8;14,2;57;39;41;206;3,6;1,6;
2024/01/05;1600 UTC;0;916,9;917,4;916,9;3334;29,4;16,2;30,4;28,2;18,3;13,7;51;41;45;222;6,5;1,5;
2024/01/05;1700 UTC;0;916,2;916,9;916,2;2922;30,1;15,9;31,3;29;18,1;14,7;48;39;42;256;6,8;1,5;
2024/01/05;1800 UTC;0;915,4;916,2;915,4;3094,5;30,1;15;31,2;29,1;16,5;14,5;44;37;40;266;5,8;1,6;
2024/01/05;1900 UTC;0;914,6;915,4;914,5;2193,9;30,1;14,1;30,5;29,1;15,4;14;42;37;38;200;7,3;2;
2024/01/05;2000 UTC;0;914,3;914,7;914,3;1970,5;29,6;13;30,3;29,3;15,3;12,9;42;35;36;154;6,4;3;
2024/01/05;2100 UTC;0;914,5;914,5;914,2;318;28,5;13,2;29,6;28,5;14,4;13;42;36;39;200;6,9;2,8;
2024/01/05;2200 UTC;0;915,5;915,5;914,5;83,3;27,1;14,9;28,5;27,1;15,1;13,3;48;39;47;123;5,6;1,5;
2024/01/05;2300 UTC;0;916,5;916,5;915,5;;26,2;15,6;27,1;26,2;15,6;15;52;47;52;163;3,6;,6;
2024/01/06;0000 UTC;0;917,3;917,3;916,5;;25,7;15,8;26,4;25,6;15,8;15,5;55;51;54;158;3,6;1,7;
2024/01/06;0100 UTC;0;918;918;917,3;;23,6;17,5;25,7;23,5;17,5;15,8;69;54;69;120;7,3;2,2;
2024/01/06;0200 UTC;0;918,1;918,4;918;;22,4;17,6;23,6;22,4;17,7;17,5;74;69;74;126;6,5;2,1;
2024/01/06;0300 UTC;0;918;918,3;918;;21,3;17,4;22,4;21,3;17,6;17,4;78;74;78;130;5,8;1,9;
2024/01/06;0400 UTC;0;917,8;918;917,7;;20,7;16,9;21,3;20,7;17,4;16,9;80;78;79;135;5,5;1,9;
2024/01/06;0500 UTC;0;917,4;917,8;917,4;;19,9;16,5;20,7;19,9;16,9;16,5;81;79;81;132;5;,8;
2024/01/06;0600 UTC;0;916,8;917,4;916,8;;19,4;16,5;19,9;19,4;16,6;16,5;84;81;83;121;3,9;,5;
2024/01/06;0700 UTC;0;917;917;916,8;;19,1;16,4;19,4;19;16,5;16,3;85;83;84;121;3,4;1,3;
2024/01/06;0800 UTC;0;917,6;917,6;917;;18,7;16,3;19,1;18,7;16,4;16,2;86;84;86;109;3,4;,6;
2024/01/06;0900 UTC;0;918,3;918,3;917,6;14,6;18,5;16,3;18,7;18,4;16,4;16,2;87;86;87;126;2,8;,8;
2024/01/06;1000 UTC;0;918,6;918,6;918,3;458,1;20,9;16,9;20,9;18,5;17,4;16,3;87;78;78;283;3,4;1,6;
2024/01/06;1100 UTC;0;918,7;918,8;918,6;1399,2;24,3;17,9;24,3;20,9;18,3;16,8;78;67;68;270;4,3;1,4;
2024/01/06;1200 UTC;0;918,9;919;918,7;2248,7;26;18;26,2;24,2;18,5;17,5;68;60;61;300;3,7;1,7;
2024/01/06;1300 UTC;0;918,6;918,9;918,6;2958,7;26,9;17;27,4;25,7;18,9;16,8;63;54;55;328;4,5;1,8;
2024/01/06;1400 UTC;0;918;918,6;918;3499,1;28,4;16,1;28,4;26,8;18,5;15,6;59;47;48;3;4,3;1,2;
2024/01/06;1500 UTC;0;917,7;918,1;917,7;3331,7;29,6;17;30,6;28,1;19,2;16;53;44;47;25;3,9;,4;
2024/01/06;1600 UTC;0;917,3;917,7;917,3;2785,9;29,1;15,4;31,1;29;17,6;14,4;48;38;43;244;4;,1;
2024/01/06;1700 UTC;0;916,7;917,3;916,7;2584;29,7;16,2;31;29;17,6;15,2;47;41;44;270;3,6;1,7;
2024/01/06;1800 UTC;0;915,9;916,7;915,9;1252,4;30,1;14,9;31;28,9;17,6;14,9;48;40;40;287;3,6;,9;
2024/01/06;1900 UTC;0;915,4;915,9;915,4;689,4;28,7;17,9;30,1;28,4;17,9;15;53;40;52;313;4,3;1,5;
2024/01/06;2000 UTC;0;915;915,4;915;1554,6;29,7;16,4;30,6;28,8;18,5;15,8;53;43;45;243;4,2;1,4;
2024/01/06;2100 UTC;0;915,3;915,3;914,9;442,5;28,3;16,9;29,8;28,3;17,2;16,3;50;45;50;300;4,8;1,6;
2024/01/06;2200 UTC;0;916;916,1;915,3;86,7;27,4;16,8;28,5;27,2;17;16,7;53;49;53;323;3,2;,6;
