REGIAO:;SE
UF:;SP
ESTACAO:;SOROCABA
CODIGO (WMO):;A713
LATITUDE:;-23,4261111
LONGITUDE:;-47,58555555
ALTITUDE:;609,33
DATA DE FUNDACAO:;22/08/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;946,2;946,2;945,5;;20,2;16,2;21,1;20,1;16,7;16,2;79;75;78;115;6,3;3,1;
2024/01/01;0100 UTC;0;946,6;946,6;946,1;;20,5;16,1;20,5;19,7;16,4;16,1;81;76;76;123;5,1;,1;
2024/01/01;0200 UTC;0;946,7;946,9;946,6;;20,8;15,9;20,8;20,5;16,1;15,9;76;74;74;123;1;,1;
2024/01/01;0300 UTC;0;946,3;946,8;946,3;;20,9;16,3;21;20,7;16,3;15,9;75;73;75;119;1,2;,2;
2024/01/01;0400 UTC;0;946,3;946,4;946,1;;20,2;16;20,9;20,2;16,2;16;77;75;77;115;,9;0;
2024/01/01;0500 UTC;0;945,8;946,3;945,7;;19,9;15,7;20,2;19,4;16,1;15,7;80;77;77;119;,4;0;
2024/01/01;0600 UTC;0;945,3;945,8;945,3;;19,3;15,9;20,1;19,2;15,9;15,6;81;76;81;120;,4;0;
2024/01/01;0700 UTC;0;945,1;945,3;944,9;;18,7;15,9;19,4;18,7;15,9;15,5;84;79;84;116;,4;0;
2024/01/01;0800 UTC;0;945;945,3;945;;18,4;16;18,8;18,4;16,3;16;86;84;86;138;,5;0;
2024/01/01;0900 UTC;0;945,2;945,2;944,8;24,9;18,3;15,7;18,4;18;15,9;15,7;87;85;85;148;,4;0;
2024/01/01;1000 UTC;0;945,5;945,5;945,1;397,9;19,8;16;20,1;18,2;16,4;15,7;85;78;79;194;,5;0;
2024/01/01;1100 UTC;0;945,8;945,9;945,5;1343,9;22,8;16,6;22,8;19,8;16,7;15,8;80;67;68;133;1;,1;
2024/01/01;1200 UTC;0;946,2;946,2;945,8;2169,1;24,2;16,5;24,6;22,5;16,8;15,9;68;60;62;125;6;,1;
2024/01/01;1300 UTC;0;946,1;946,3;946,1;2273,7;25,9;16,6;26,2;24,1;17,5;15,8;63;55;56;117;3,6;,1;
2024/01/01;1400 UTC;0;946,2;946,3;946,1;1934,7;25,9;16,9;26,1;25;17,1;16,2;60;56;58;124;,9;,2;
2024/01/01;1500 UTC;0;945,6;946,2;945,6;3213,6;27,8;16,7;28,4;25,5;17,9;16,2;59;50;51;137;1,1;,2;
2024/01/01;1600 UTC;0;945;945,6;945;3019,9;28,1;16,7;28,5;26,3;17,9;16;57;49;50;121;8,4;3,7;
2024/01/01;1700 UTC;0;943,8;945;943,8;3941,6;29,2;17,1;29,2;27,6;17,8;16,2;53;48;48;210;6,3;,6;
2024/01/01;1800 UTC;0;943;943,8;943;3020,3;28,7;16,4;29,9;27,5;17,6;15,5;53;45;47;114;7,7;2,9;
2024/01/01;1900 UTC;0;942,2;943;942,2;2705,2;29,5;14,6;29,8;28,7;17,1;14,3;48;40;40;201;5,9;,7;
2024/01/01;2000 UTC;0;942,2;942,4;942,2;1992,1;28,7;15,5;30,2;28,5;16,4;14,9;47;40;45;138;5,5;,2;
2024/01/01;2100 UTC;0;942,2;942,3;942,2;1057;26,5;16,5;28,7;26,5;16,6;15,4;54;45;54;120;1,2;,3;
2024/01/01;2200 UTC;0;943,1;943,1;942,2;238,3;24,5;17;26,5;24,5;17;16,6;63;54;63;124;7;4;
2024/01/01;2300 UTC;0;944;944;943;;22,2;17,2;24,5;22,2;17,2;16,9;73;63;73;115;7,9;2,7;
2024/01/02;0000 UTC;0;945,2;945,2;944;;21,1;17;22,4;21,1;17,2;16,8;78;71;78;122;6,5;2,3;
2024/01/02;0100 UTC;0;945,7;945,7;945,1;;20,3;16,9;21,1;20,3;17,1;16,9;81;78;81;123;4,1;,1;
2024/01/02;0200 UTC;0;945,8;946;945,7;;19,5;16,9;20,4;19,5;17;16,8;85;81;85;158;,6;0;
2024/01/02;0300 UTC;0;945,3;945,9;945,3;;18,9;16,5;19,5;18,9;16,9;16,5;86;85;86;154;,4;0;
2024/01/02;0400 UTC;0;944,7;945,3;944,7;;18,9;16,3;19;18,7;16,6;16,3;86;85;85;221;,3;0;
2024/01/02;0500 UTC;0;944,1;944,7;944,1;;18,5;16,1;19,2;18,5;16,4;16,1;86;84;86;131;,2;0;
2024/01/02;0600 UTC;0;943,6;944,1;943,6;;18,3;16,2;18,6;18,3;16,3;16;88;86;87;150;,3;0;
2024/01/02;0700 UTC;0;943,3;943,6;943,3;;18,8;16,6;18,8;18,1;16,6;16,1;88;87;87;112;,3;0;
2024/01/02;0800 UTC;0;943,5;943,5;943,2;;18,7;16,4;18,9;18,6;16,5;16,2;87;86;87;206;,1;0;
2024/01/02;0900 UTC;0;943,9;944;943,5;52,6;19,3;16,9;19,3;18,7;16,9;16,4;87;85;86;248;,1;0;
2024/01/02;1000 UTC;0;944,4;944,4;943,9;480,9;21,3;17,8;21,3;19,3;18;17;86;81;81;149;0;0;
2024/01/02;1100 UTC;0;944,7;944,8;944,4;1220,5;23,3;17,4;23,4;21,3;17,9;16,8;81;69;70;83;,2;0;
2024/01/02;1200 UTC;0;944,6;944,7;944,5;1995,9;24,9;17,7;25;22,8;18,3;16,8;71;63;64;40;,7;0;
2024/01/02;1300 UTC;0;944,1;944,6;944,1;2206,1;26;17,5;26,5;24,9;18,8;17,5;65;59;59;332;,7;0;
2024/01/02;1400 UTC;0;943,6;944;943,5;2359;27,3;18,4;27,8;25,8;19;17,5;62;56;58;244;,8;0;
2024/01/02;1500 UTC;0;943;943,6;943;2769,9;28,4;18,2;29,2;27,3;19,1;17,3;60;50;54;241;1,2;0;
2024/01/02;1600 UTC;0;942,5;943;942,5;3106,7;30,2;17,3;30,3;27,7;19;16,7;55;46;46;178;,5;0;
2024/01/02;1700 UTC;0;941,8;942,5;941,8;3604,5;30,5;16,8;31,8;29,8;17,8;15,4;47;39;44;231;3,3;0;
2024/01/02;1800 UTC;0;940,9;941,8;940,9;1993,8;29,7;17,3;30,9;29,5;17,7;16;47;43;47;225;1;,1;
2024/01/02;1900 UTC;0;940,5;940,9;940,4;2023,4;28,6;19;30,4;28,6;19;16,9;56;46;56;215;7,5;1;
2024/01/02;2000 UTC;0;940,6;940,7;940,5;1222,5;27,9;19;28,6;27,3;19,2;18,7;61;56;58;189;9,7;4,3;
2024/01/02;2100 UTC;0;940,9;940,9;940,5;1007;26;18,1;27,9;26;19;18,1;62;58;62;127;9,8;5,2;
2024/01/02;2200 UTC;0;941,8;941,8;940,9;114;24,3;18;26;24,3;18,4;18;69;62;68;123;8,7;5,9;
2024/01/02;2300 UTC;0;942,4;942,4;941,8;;23;17,8;24,3;22,9;18;17,8;73;68;72;113;8,7;3,1;
2024/01/03;0000 UTC;0;942,9;942,9;942,4;;22;17,6;23;22;17,8;17,5;76;72;76;114;6,1;2,8;
2024/01/03;0100 UTC;0;943,3;943,4;942,8;;21,4;17,4;22;21,4;17,6;17,4;78;76;78;140;4,3;0;
2024/01/03;0200 UTC;0;943,6;943,8;943,3;;21,3;17,2;21,5;21,1;17,4;17,2;79;77;77;149;,2;0;
2024/01/03;0300 UTC;0;943,3;943,7;943,3;;21,1;17,4;21,3;20,8;17,4;17,1;80;77;80;178;,2;0;
2024/01/03;0400 UTC;0;942,6;943,3;942,6;;20;17,2;21,3;20;17,4;17;84;78;84;204;,4;0;
2024/01/03;0500 UTC;0;942,2;942,7;942,2;;20;17,2;20;19,8;17,3;17,1;85;84;84;134;,4;0;
2024/01/03;0600 UTC;0;941,9;942,2;941,9;;19,8;17,2;20,1;19,8;17,2;17,1;85;84;85;184;,4;0;
2024/01/03;0700 UTC;0;941,8;941,9;941,6;;19,6;17,2;19,8;19,3;17,2;17;87;85;86;194;,4;0;
2024/01/03;0800 UTC;0;941,9;941,9;941,6;;19,5;17,1;20;19,5;17,4;17,1;86;84;86;143;,1;0;
2024/01/03;0900 UTC;0;942,2;942,2;941,8;40,7;19,5;17,3;19,7;19,4;17,4;17,1;88;86;87;241;,1;0;
2024/01/03;1000 UTC;0;942,5;942,5;942,2;352,9;21,7;18,2;21,7;19,5;18,3;17,3;88;80;80;231;0;0;
2024/01/03;1100 UTC;0;943;943;942,5;934,4;23,7;18,4;24;21,7;19,1;18,1;81;72;72;63;,1;0;
2024/01/03;1200 UTC;0;943,3;943,4;943;1431,5;25,8;19,9;25,8;23,7;20,1;18,4;73;69;70;320;,2;0;
2024/01/03;1300 UTC;0;943,2;943,4;943,2;2527,4;27,4;19,7;27,8;25,3;20,4;19;70;61;63;339;2,6;,1;
2024/01/03;1400 UTC;0;942,7;943,2;942,7;3359,6;29,3;19,9;29,3;27,4;20,7;19;64;56;57;290;4,3;0;
2024/01/03;1500 UTC;0;942,1;942,7;942,1;2733,9;29,4;19,1;30,6;28,8;20,2;18,6;58;51;54;298;3,9;,7;
2024/01/03;1600 UTC;0;941,2;942,1;941,2;3152,5;31,1;17,5;32,5;29,4;19,9;16,6;55;40;44;281;5,1;0;
2024/01/03;1700 UTC;0;940,6;941,2;940,5;2813,5;31,7;17,3;32,5;31,1;18,6;16,3;47;39;42;263;4,2;0;
2024/01/03;1800 UTC;0;939,7;940,6;939,7;2310,3;31,7;17,8;32,9;31,5;17,9;16,5;44;38;43;256;1,1;0;
2024/01/03;1900 UTC;0;940;940,2;939,4;1358,5;24,2;20;33,6;24,2;20,3;16,4;78;37;78;229;11,5;6,1;
2024/01/03;2000 UTC;,2;939,8;940,2;939,5;1244,6;25,4;20,1;25,6;23,6;21,5;19,8;85;71;73;211;10,7;4,9;
2024/01/03;2100 UTC;0;940,5;940,5;939,7;515,1;25,5;19,2;25,6;25,3;20,2;19,2;73;68;68;118;9;4,4;
2024/01/03;2200 UTC;0;942,1;942,1;940,5;154,5;24,2;18,4;25,6;24,2;19,1;18,4;70;67;70;147;9,2;5,1;
2024/01/03;2300 UTC;0;942,4;942,5;942;;23,4;18,1;24,2;23,3;18,5;18,1;73;70;72;156;8,6;4,1;
2024/01/04;0000 UTC;0;943,5;943,5;942,4;;23;18;23,4;22,8;18,3;18;76;72;73;119;7;,1;
