REGIAO:;SE
UF:;SP
ESTACAO:;OURINHOS
CODIGO (WMO):;A716
LATITUDE:;-23,00055555
LONGITUDE:;-49,84333333
ALTITUDE:;500
DATA DE FUNDACAO:;29/08/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;963,3;963,3;962,8;0;25,9;15,7;26,9;25,8;15,7;15;54;48;54;126;7,8;4,3;
2024/01/01;0100 UTC;0;964,1;964,1;963,3;0;24,3;16,6;25,9;24,3;16,6;15,7;62;54;62;116;8,7;4,7;
2024/01/01;0200 UTC;0;964,8;964,9;964,1;0;23;17;24,2;23;17,1;16,6;69;62;69;123;10,4;4,4;
2024/01/01;0300 UTC;0;964,9;965,1;964,4;0;21,7;17,2;23;21,7;17,2;16,9;75;69;75;116;9,2;3,6;
2024/01/01;0400 UTC;0;964,5;964,9;964,2;0;21,4;17;21,8;21,3;17,2;17;77;75;76;104;8,7;4,4;
2024/01/01;0500 UTC;0;964,1;964,5;964,1;0;20,9;17,1;21,6;20,9;17,1;16,8;79;74;79;117;8,7;4,1;
2024/01/01;0600 UTC;0;964;964,1;964;0;20,9;17,1;21;20,8;17,2;17,1;80;79;79;133;8,3;3,4;
2024/01/01;0700 UTC;0;963,8;964;963,7;0;20,7;16,9;20,9;20,7;17,1;16,9;79;78;79;126;6,9;3;
2024/01/01;0800 UTC;0;963,8;964;963,6;0;20,3;16,9;20,7;20,2;17;16,9;81;79;81;125;6,1;2,3;
2024/01/01;0900 UTC;0;964;964;963,7;19,3;20,6;17,1;20,6;20,1;17,1;16,8;81;80;80;133;5,3;2,8;
2024/01/01;1000 UTC;0;964,4;964,4;964;507,4;22,3;17,6;22,3;20,6;17,8;17,1;80;74;74;138;6,2;3,5;
2024/01/01;1100 UTC;0;964,5;964,5;964,4;1386,6;23,5;17,4;23,7;22,3;17,8;17;74;68;69;135;8,9;5,2;
2024/01/01;1200 UTC;0;964,7;964,7;964,4;2191,1;25,3;17,2;25,4;23,5;18;17;69;61;61;125;8,5;5,3;
2024/01/01;1300 UTC;0;964,8;964,8;964,6;2922,4;27,1;17,1;27,5;25;18,2;16,9;61;54;54;126;8,8;4,1;
2024/01/01;1400 UTC;0;964,4;964,8;964,4;3528,7;28,8;17,4;29,4;27,1;18,5;17;56;49;50;128;8,6;3,8;
2024/01/01;1500 UTC;0;963,9;964,5;963,9;3625,5;29,8;17;31;28,7;18,2;16,3;51;44;46;128;8,6;3;
2024/01/01;1600 UTC;0;963,1;963,9;963,1;3978,6;30,8;15,2;31,8;29,8;17,8;15,2;47;38;39;139;7,4;3,2;
2024/01/01;1700 UTC;0;962;963,1;962;4165,1;32,7;17,3;32,7;30,8;17,3;14,7;41;36;40;153;7,7;3,7;
2024/01/01;1800 UTC;0;961,1;962;961,1;2793,9;30,5;16,5;33,8;30,2;17,7;15,5;44;35;43;137;7,3;2,6;
2024/01/01;1900 UTC;0;960,6;961,1;960,6;2312,8;32;16;33,2;30,3;17,3;15,3;44;36;38;172;6,7;3,2;
2024/01/01;2000 UTC;0;960;960,6;960;2034,8;31,5;16;32,5;31,4;17,3;15,5;41;38;39;166;8,1;4,9;
2024/01/01;2100 UTC;0;959,9;960;959,8;1108,2;30,2;15,7;31,9;30,2;17,2;15,4;42;39;42;162;9,4;5;
2024/01/01;2200 UTC;0;960,8;960,8;959,9;255,4;27,6;15,2;30,2;27,6;15,9;14,9;47;41;47;136;8,3;2,1;
2024/01/01;2300 UTC;0;961,4;961,4;960,8;,2;26,4;15,8;27,6;26,4;15,8;15,2;52;47;52;129;4;2,4;
2024/01/02;0000 UTC;0;962,2;962,2;961,4;0;26,2;15,8;27,1;25,4;16;15,5;56;49;53;126;5,3;3,3;
2024/01/02;0100 UTC;0;963,1;963,1;962,2;0;24,7;17;26,2;24,7;17;15,7;62;53;62;117;9,7;4,2;
2024/01/02;0200 UTC;0;963,8;963,9;963,1;0;23,6;18,1;24,8;23,5;18,1;17;71;62;71;128;11,2;4,9;
2024/01/02;0300 UTC;0;963,5;963,8;963,5;0;22,3;18,1;23,6;22,3;18,2;18;77;71;77;114;10,5;4,8;
2024/01/02;0400 UTC;0;963,4;963,6;963,4;0;21,3;17,9;22,3;21,3;18,1;17,8;81;77;81;108;9,3;4,1;
2024/01/02;0500 UTC;0;962,6;963,4;962,6;0;21;17,5;21,4;20,8;17,9;17,5;82;81;81;122;8;4,8;
2024/01/02;0600 UTC;0;962,5;962,7;962,5;0;20,2;17,5;21;20,2;17,5;17,4;84;81;84;112;8;2,3;
2024/01/02;0700 UTC;0;962,4;962,5;962,3;0;20,5;17,2;20,6;20;17,5;17,2;85;81;82;123;7,6;3,7;
2024/01/02;0800 UTC;0;962,7;962,7;962,4;0;20,1;17,1;20,5;20,1;17,3;17,1;83;82;83;129;7,6;3,1;
