REGIAO:;SE
UF:;SP
ESTACAO:;AVARE
CODIGO (WMO):;A725
LATITUDE:;-23,10166666
LONGITUDE:;-48,9411111
ALTITUDE:;776,36
DATA DE FUNDACAO:;22/09/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;927,3;927,4;926,6;;21,2;16,2;22,6;21,2;16,2;15,9;73;66;73;225;11,1;4,1;
2024/01/01;0100 UTC;0;927,9;928;927,3;;20,2;16,2;21,2;20,2;16,2;16,2;78;73;78;234;10;5,1;
2024/01/01;0200 UTC;0;927,7;928,1;927,6;;19,4;16,1;20,2;19,4;16,3;16;81;78;81;229;10;3,8;
2024/01/01;0300 UTC;0;927,7;927,9;927,6;;18,7;16,2;19,4;18,7;16,2;16,1;85;81;85;223;9,2;3,6;
2024/01/01;0400 UTC;0;927,4;927,7;927,3;;18,7;15,8;18,8;18,7;16,2;15,8;85;83;83;214;8,4;3,5;
2024/01/01;0500 UTC;0;926,8;927,4;926,8;;18,4;16;18,8;18,4;16;15,8;86;83;86;226;7,5;3,5;
2024/01/01;0600 UTC;0;926,6;926,8;926,4;;18,3;16,2;18,5;18,2;16,2;16;88;86;88;252;7,6;3,8;
2024/01/01;0700 UTC;0;926,2;926,6;926,2;;18,4;16,3;18,5;18,3;16,4;16,2;88;87;88;235;7,7;2,9;
2024/01/01;0800 UTC;0;926,2;926,4;926,1;;18;16,2;18,4;18;16,3;16,2;90;88;90;231;7,3;3,1;
2024/01/01;0900 UTC;0;926,7;926,7;926,2;89,6;18,3;16,3;18,3;17,9;16,4;16,2;90;88;88;237;6,3;3,5;
2024/01/01;1000 UTC;0;927,1;927,1;926,7;551,2;18,8;16;19,4;18,2;16,6;16;88;83;83;228;10,7;3,9;
2024/01/01;1100 UTC;0;927,4;927,5;927,1;1168,8;20;16,4;20,1;18,7;16,6;15,9;85;80;80;234;10,7;4,5;
2024/01/01;1200 UTC;0;927,8;927,8;927,4;2552,5;22,2;17,1;22,2;19,9;17,1;16;80;73;73;238;9,4;3,6;
2024/01/01;1300 UTC;0;927,9;928;927,8;3321,2;23;16,7;24,3;21,5;17,9;16,1;73;64;68;233;7,1;2,8;
2024/01/01;1400 UTC;0;927,6;927,9;927,6;3810,9;24,9;17,5;25,4;22,9;17,8;16,7;69;60;64;241;6;2,9;
