REGIAO:;SE
UF:;SP
ESTACAO:;TAUBATE
CODIGO (WMO):;A728
LATITUDE:;-23,04166666
LONGITUDE:;-45,52083332
ALTITUDE:;582,26
DATA DE FUNDACAO:;20/12/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;950;950;949,5;;19,7;18,3;19,7;19,3;18,4;18,1;93;91;91;89;2,1;,7;
2024/01/01;0100 UTC;0;950,4;950,4;950;1;19,9;18,5;20,1;19,7;18,5;17,7;92;87;92;63;2,9;1,6;
2024/01/01;0200 UTC;0;950,7;950,8;950,4;;20,1;18,5;20,1;19,9;18,8;18,5;92;91;91;124;3;1,4;
2024/01/01;0300 UTC;0;950,2;950,7;950,2;2,8;19,5;16,6;20,1;19,5;18,5;16,4;91;81;83;131;3;1,5;
2024/01/01;0400 UTC;0;949,9;950,2;949,9;,5;18,9;17,3;19,7;18,9;17,8;16,5;91;82;90;41;6,1;4,2;
2024/01/01;0500 UTC;0;949,5;950;949,5;2;18,5;16,9;18,9;18,5;17,3;16,9;91;90;90;49;6,2;4,6;
2024/01/01;0600 UTC;0;948,9;949,5;948,8;;18,6;16,6;18,6;18,4;16,9;16,6;91;88;88;52;6,2;4;
2024/01/01;0700 UTC;0;948,7;948,9;948,7;;18,9;16,3;18,9;18,5;16,7;16,3;89;85;85;71;6;3,9;
2024/01/01;0800 UTC;0;948,6;948,8;948,6;;18,8;16,7;18,9;18,7;16,9;16,3;89;85;88;102;5,6;1,8;
2024/01/01;0900 UTC;0;949;949;948,6;19,6;18,9;16,9;18,9;18,7;16,9;16,6;88;87;88;89;2,8;1,5;
2024/01/01;1000 UTC;0;949,6;949,6;949;231,6;19,7;16,5;19,8;18,9;17,2;16,4;88;81;82;71;3,9;1,7;
2024/01/01;1100 UTC;0;949,7;949,9;949,2;359,6;20;16,5;20,1;19,6;17,1;16,3;84;80;80;30;4,4;3;
2024/01/01;1200 UTC;0;949,9;949,9;949,6;1252,9;21,2;16,7;21,6;20;17,6;16,5;82;75;75;55;6,3;4,5;
2024/01/01;1300 UTC;0;950;950,1;949,9;961,6;21,9;16,8;22;20,7;17,5;16,5;79;73;73;40;6,6;3,9;
2024/01/01;1400 UTC;0;949,7;950;949,7;2556;23,6;17,3;23,8;21,8;17,9;16,5;74;66;68;36;6,9;4,4;
