REGIAO:;SE
UF:;SP
ESTACAO:;JALES
CODIGO (WMO):;A733
LATITUDE:;-20,165
LONGITUDE:;-50,59499999
ALTITUDE:;460,44
DATA DE FUNDACAO:;22/08/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;,2;960,6;960,6;960,1;;22,8;22,4;22,9;22,8;22,5;22,3;98;97;98;210;0;0;
2024/01/01;0100 UTC;,2;960,7;960,7;960,5;;22,7;22,3;22,8;22,7;22,4;22,3;98;98;98;243;0;0;
2024/01/01;0200 UTC;,2;960,5;960,7;960,5;;22,7;22,3;22,7;22,6;22,4;22,3;98;98;98;260;0;0;
2024/01/01;0300 UTC;0;960;960,5;959,9;;22,8;22,4;22,8;22,6;22,4;22,3;98;98;98;312;0;0;
2024/01/01;0400 UTC;,2;959,7;960;959,7;;22,5;22,2;22,8;22,5;22,4;22,2;98;98;98;307;,5;0;
2024/01/01;0500 UTC;,2;959,6;959,7;959,5;;22,6;22,2;22,6;22,4;22,3;22,1;98;98;98;171;0;0;
2024/01/01;0600 UTC;0;959,2;959,6;959,2;;22,5;22,1;22,6;22,5;22,3;22,1;98;98;98;151;0;0;
2024/01/01;0700 UTC;,2;958,5;959,2;958,5;;22,4;21,9;22,5;22,3;22,1;21,9;98;97;97;156;0;0;
2024/01/01;0800 UTC;0;958,3;958,5;958,1;;22,3;21,7;22,4;22,2;21,9;21,7;97;97;97;128;4,3;0;
2024/01/01;0900 UTC;0;959,1;959,1;958,3;,5;22,2;21,7;22,3;22,1;21,7;21,6;97;97;97;102;0;0;
2024/01/01;1000 UTC;0;960;960;959,1;67,8;22,7;22,3;22,7;22,1;22,3;21,7;98;97;97;144;1,5;0;
2024/01/01;1100 UTC;,2;960,1;960,2;959,9;279,5;23,5;22,7;23,5;22,7;22,7;22,3;97;95;95;87;1,3;0;
2024/01/01;1200 UTC;0;960,6;960,6;960,1;784,5;24,6;22,2;25;23,5;23;22;95;86;87;80;1,3;0;
2024/01/01;1300 UTC;0;961,3;961,3;960,6;901,5;25,6;21,7;25,7;24,6;22,8;21,3;87;78;79;78;0;0;
2024/01/01;1400 UTC;0;961,2;961,3;961,2;876,2;26,4;21,7;26,4;25,4;22,1;20,9;81;74;76;329;0;0;
2024/01/01;1500 UTC;0;960,6;961,2;960,6;1149,6;27,4;21,8;27,6;26,4;22,5;21,3;76;70;72;125;0;0;
2024/01/01;1600 UTC;0;959,9;960,6;959,9;1056,7;23,9;21,2;27,9;23,8;22,3;20,7;85;69;85;59;10,2;5,6;
2024/01/01;1700 UTC;0;958,8;959,9;958,8;2321,6;27,2;21,3;27,8;23,9;22,5;20,3;85;68;70;14;9,2;3,3;
2024/01/01;1800 UTC;0;958;958,8;958;2276,2;27,8;20,9;27,9;26,4;21,7;20,3;73;65;66;339;8,3;,3;
2024/01/01;1900 UTC;0;957;958;957;1785,9;28,9;19,6;29,4;27,3;21,2;19,6;68;57;57;355;5,6;0;
2024/01/01;2000 UTC;0;956,2;957;956,2;1270,1;29,4;19,9;29,9;28,6;20,5;19,3;60;55;57;10;0;0;
2024/01/01;2100 UTC;0;956,3;956,3;955,9;655,8;27,4;20,9;29,4;27,4;21,4;19,4;69;56;68;17;4,9;0;
2024/01/01;2200 UTC;0;957;957;956,3;194,7;25,9;21,1;27,5;25,9;21,1;20,6;75;67;75;71;0;0;
2024/01/01;2300 UTC;0;957,7;957,7;957;;24;21,7;25,9;23,7;21,8;21;88;75;87;306;0;0;
2024/01/02;0000 UTC;0;958,7;958,7;957,7;;23,4;21,2;24,1;23,3;21,7;21,2;90;86;87;115;0;0;
2024/01/02;0100 UTC;0;959;959,1;958,5;;23,2;21,2;23,5;22,9;21,6;20,9;91;86;89;108;0;0;
2024/01/02;0200 UTC;0;959,6;959,6;959;;22,8;21,3;23,2;22,8;21,4;21,2;91;89;91;96;0;0;
2024/01/02;0300 UTC;0;959,1;959,7;959,1;;22,5;20,9;23;22,5;21,4;20,7;91;89;90;79;0;0;
2024/01/02;0400 UTC;0;958,5;959,1;958,5;;22,7;21,4;22,7;22,3;21,5;20,9;93;90;92;78;0;0;
2024/01/02;0500 UTC;0;958;958,5;958;;22,4;21,6;22,8;22,4;21,6;21,2;95;92;95;97;0;0;
2024/01/02;0600 UTC;0;957,6;958,1;957,6;;22,6;21,9;22,6;22,3;22;21,5;96;95;96;66;0;0;
2024/01/02;0700 UTC;0;957,6;957,6;957,5;;22,6;22;22,8;22,6;22,1;21,9;96;96;96;107;0;0;
2024/01/02;0800 UTC;0;957,8;957,9;957,6;;22,6;21,9;22,9;22,6;22,2;21,9;96;95;96;104;0;0;
2024/01/02;0900 UTC;0;958,1;958,1;957,8;2,7;22,7;21,8;22,8;22,6;22;21,8;96;95;95;129;0;0;
2024/01/02;1000 UTC;0;959;959;958,1;149,6;23,7;22,5;23,7;22,7;22,5;21,8;96;93;93;4;0;0;
2024/01/02;1100 UTC;0;958,7;959;958,7;420;24,6;22,6;24,7;23,7;22,6;22,1;93;87;89;24;0;0;
