REGIAO:;SE
UF:;SP
ESTACAO:;IBITINGA
CODIGO (WMO):;A737
LATITUDE:;-21,85555555
LONGITUDE:;-48,79972221
ALTITUDE:;496,75
DATA DE FUNDACAO:;09/11/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;956;956;954,8;;25,3;20,3;28;25,3;21,5;16,8;77;51;74;131;6;2;
2024/01/01;0100 UTC;;956,7;956,8;956;;24,6;18,3;25,4;24,3;20;18,3;74;68;68;148;6,9;3;
2024/01/01;0200 UTC;;957,1;957,1;956,7;;23,4;18,5;24,6;23,4;18,6;18,2;74;68;74;160;7,3;1,9;
2024/01/01;0300 UTC;;956,7;957,1;956,7;;22,5;18,6;23,4;22,5;18,7;18,4;78;73;78;140;6,3;1,7;
2024/01/01;0400 UTC;;956,6;957,1;956,6;;22;18,6;22,5;22;18,9;18,6;83;78;81;164;4,2;2;
2024/01/01;0500 UTC;;956,5;956,7;956,5;;21,5;18,5;22;21,5;18,8;18,4;85;81;83;164;5,4;2;
2024/01/01;0600 UTC;;955,6;956,5;955,6;;20,7;18,7;21,5;20,6;18,7;18,4;88;83;88;143;5,5;1,1;
2024/01/01;0700 UTC;;955,6;955,6;955,2;;20,1;18,9;20,7;20;19;18,5;93;88;93;164;4;1,5;
2024/01/01;0800 UTC;;955,2;955,6;955,1;;19,8;18,7;20,1;19,7;18,9;18,5;95;91;94;146;3,6;1,3;
2024/01/01;0900 UTC;;956;956,1;955,2;6,7;19,9;18,7;19,9;19,7;18,9;18,6;95;92;93;167;3,7;1,5;
