REGIAO:;SE
UF:;SP
ESTACAO:;BARRA BONITA
CODIGO (WMO):;A741
LATITUDE:;-22,4711111
LONGITUDE:;-48,5575
ALTITUDE:;533,68
DATA DE FUNDACAO:;24/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;952,5;952,5;951,8;;24,5;16,5;26,1;24,4;16,9;16,4;61;57;61;;;;
2024/01/01;0100 UTC;0;953,1;953,1;952,5;;23,2;17,1;24,5;23,2;17,1;16,4;68;61;68;;;;
2024/01/01;0200 UTC;0;953,3;953,6;953,1;;22,5;17,2;23,2;22,5;17,3;17,1;72;68;72;;;;
2024/01/01;0300 UTC;0;953,2;953,4;953,2;;21,8;17;22,5;21,8;17,3;17;75;72;75;;;;
2024/01/01;0400 UTC;0;953;953,3;953;;21,2;16,9;21,8;21,2;17;16,9;77;74;77;;;;
2024/01/01;0500 UTC;0;952,3;953,1;952,3;;20,8;16,8;21,2;20,8;16,9;16,8;78;77;78;;;;
2024/01/01;0600 UTC;0;951,7;952,3;951,7;;20,6;16,8;20,8;20,6;16,9;16,8;79;78;79;;;;
2024/01/01;0700 UTC;0;951,4;951,7;951,3;;20,6;16,8;20,7;20,5;16,9;16,8;79;79;79;;;;
2024/01/01;0800 UTC;0;951,6;951,7;951,3;;20,4;16,5;20,6;20,4;16,8;16,5;79;78;78;;;;
2024/01/01;0900 UTC;0;952;952,2;951,6;17,9;20,7;16,5;20,7;20,3;16,6;16,4;79;77;77;;;;
2024/01/01;1000 UTC;0;952,7;952,7;951,9;230,2;21,4;17;21,4;20,6;17,1;16,5;78;76;76;;;;
2024/01/01;1100 UTC;0;953;953,1;952,6;549,2;22,4;16,7;22,5;21,4;17,1;16,4;76;70;70;;;;
2024/01/01;1200 UTC;0;953,3;953,4;953;722;24,6;17,1;24,7;22,4;17,3;16,6;70;62;63;;;;
2024/01/01;1300 UTC;0;953,6;953,7;953,3;1248,2;25,4;17,3;25,5;24;17,6;16,7;65;61;61;;;;
2024/01/01;1400 UTC;0;953,3;953,6;953,3;2768,9;27,6;17,4;28,1;24,6;18,5;16,6;63;54;54;;;;
2024/01/01;1500 UTC;0;952,6;953,3;952,6;3843,1;29,7;18,2;30;27,4;18,6;17,4;55;49;50;;;;
2024/01/01;1600 UTC;0;951,5;952,6;951,5;3893,5;32;17,3;32,5;29,2;18,7;17,3;51;41;41;;;;
2024/01/01;1700 UTC;0;950,3;951,5;950,3;3752,3;33,1;14,8;33,6;31,6;18,2;14,3;44;33;33;;;;
2024/01/01;1800 UTC;0;949,2;950,3;949,2;3384,4;33,5;13,3;33,9;32;15,5;13,2;36;29;29;;;;
2024/01/01;1900 UTC;0;948,7;949,2;948,6;2659,1;33,1;13,7;34,1;32,7;14,7;12,9;33;29;31;;;;
2024/01/01;2000 UTC;0;948,2;948,7;948,2;1550,9;32,1;14,1;34;31,6;14,5;13,2;34;30;34;;;;
2024/01/01;2100 UTC;0;948,3;948,4;948,1;720;30,7;14,6;32,4;30,7;14,6;13,8;38;33;38;;;;
2024/01/01;2200 UTC;0;949;949;948,3;74,3;29,1;14,2;30,7;29,1;14,8;14,2;41;38;40;;;;
2024/01/01;2300 UTC;0;950,3;950,3;949;;27,4;15;29,1;27,1;15,5;14,2;49;40;47;;;;
2024/01/02;0000 UTC;0;951,3;951,3;950,3;;26,3;16,7;27,4;26,3;16,7;15;56;47;56;;;;
2024/01/02;0100 UTC;0;952;952;951,3;;25,1;17,1;26,3;25,1;17,1;16,8;61;56;61;;;;
2024/01/02;0200 UTC;0;952,5;952,5;952;;24;17,4;25,1;24;17,5;17,1;67;61;67;;;;
2024/01/02;0300 UTC;0;952,1;952,6;952,1;;23;17,4;24;23;17,4;17,4;71;67;71;;;;
2024/01/02;0400 UTC;0;951,6;952,2;951,6;;22,1;17,4;23;22,1;17,4;17,3;75;71;75;;;;
2024/01/02;0500 UTC;0;951,2;951,6;951,2;;21,1;17,5;22,1;21,1;17,7;17,4;80;75;80;;;;
2024/01/02;0600 UTC;0;950,8;951,2;950,7;;21;17,4;21,2;21;17,6;17,4;80;80;80;;;;
2024/01/02;0700 UTC;0;950,8;951,1;950,7;;20,9;17,5;21;20,8;17,5;17,3;81;80;81;;;;
2024/01/02;0800 UTC;0;951,3;951,3;950,8;;20,5;17,4;21;20,5;17,5;17,2;82;80;82;;;;
2024/01/02;0900 UTC;0;951,6;951,6;951,2;19;20,4;17,8;20,6;20,3;17,8;17,4;85;82;85;;;;
2024/01/02;1000 UTC;0;951,9;951,9;951,5;120,6;21,8;18,1;21,8;20,2;18,6;17,6;85;79;79;;;;
2024/01/02;1100 UTC;0;951,6;951,9;951,6;228;24,2;18,1;24,2;21,6;18,6;17,5;79;69;69;;;;
2024/01/02;1200 UTC;0;951,1;951,6;951,1;480,7;26,9;19;26,9;24;19,2;17,8;69;62;62;;;;
2024/01/02;1300 UTC;0;950,6;951,2;950,6;799,2;27,8;19;28,5;26,5;19,6;18,2;62;56;59;;;;
2024/01/02;1400 UTC;0;950,2;950,6;950,2;1734,4;30;19,3;30,2;27,8;20,4;18,6;59;51;53;;;;
2024/01/02;1500 UTC;0;950;950,2;950;1772,6;30,4;18,2;31;29,5;19,7;17,7;53;46;48;;;;
2024/01/02;1600 UTC;0;949,5;950;949,5;1758,3;32,2;18,8;32,4;30,2;19,1;17,7;50;43;45;;;;
2024/01/02;1700 UTC;0;948,4;949,5;948,4;2608,7;32,1;17,5;34,1;31,3;18,8;16,5;46;36;42;;;;
2024/01/02;1800 UTC;0;947,4;948,4;947,4;835,8;31,5;16,9;32,3;31,2;17,8;16,4;44;39;42;;;;
2024/01/02;1900 UTC;0;946,8;947,4;946,8;1013,3;32,1;15,2;32,5;31,5;17;15,2;42;36;36;;;;
2024/01/02;2000 UTC;0;947;947;946,5;617,9;29,2;16,8;32,6;29,2;17,5;15,4;47;36;47;;;;
2024/01/02;2100 UTC;0;947,5;947,5;947;253,1;28;17,7;29,3;27,9;17,7;16,5;54;47;54;;;;
2024/01/02;2200 UTC;0;948;948;947,5;37,6;26,8;18;27,9;26,8;18;17,5;58;54;58;;;;
2024/01/02;2300 UTC;0;948,8;948,8;948;;26,9;18;27,2;26,3;18,1;17,7;60;56;58;;;;
2024/01/03;0000 UTC;0;949,4;949,4;948,8;;27;18,3;27,3;26,8;18,9;18,1;62;58;59;;;;
2024/01/03;0100 UTC;0;949,9;949,9;949,4;;25,8;18,4;27;25,8;18,7;18,3;64;59;64;;;;
2024/01/03;0200 UTC;0;950,1;950,2;949,9;;24,8;18,9;25,8;24,8;18,9;18,3;70;64;70;;;;
2024/01/03;0300 UTC;0;950,2;950,3;950;;24,4;18,6;24,8;24,4;18,9;18,4;70;69;70;;;;
2024/01/03;0400 UTC;0;950;950,2;949,9;;23,7;18;24,4;23,7;18,6;18;71;69;71;;;;
2024/01/03;0500 UTC;0;949,3;950;949,3;;23;18,3;23,7;23;18,4;18;75;70;75;;;;
2024/01/03;0600 UTC;0;949;949,3;948,9;;22,1;18,2;23;22,1;18,4;18,1;79;75;79;;;;
2024/01/03;0700 UTC;0;948,9;949;948,8;;21,7;18,5;22,1;21,7;18,6;18,3;82;79;82;;;;
2024/01/03;0800 UTC;0;949,3;949,3;948,8;;21,3;18,3;21,7;21,3;18,5;18,3;84;82;84;;;;
2024/01/03;0900 UTC;0;949,8;949,8;949,3;22,1;21,2;18,1;21,3;21,1;18,4;18;84;82;83;;;;
2024/01/03;1000 UTC;0;950;950,1;949,8;179,7;22,2;18;22,2;21,2;18,2;17,8;83;77;77;;;;
2024/01/03;1100 UTC;0;950,4;950,4;950;334,9;24,4;18,7;24,4;22,2;18,7;18;77;70;71;;;;
2024/01/03;1200 UTC;0;950,3;950,4;950,2;356,7;26,8;19,1;26,9;24,4;19,5;18,5;71;62;63;;;;
2024/01/03;1300 UTC;0;950,3;950,5;950,2;934,2;28,7;20,1;29,1;26,7;20,1;18,8;63;56;60;;;;
2024/01/03;1400 UTC;0;949,9;950,3;949,9;1593,2;29,8;20,3;31,2;28,8;20,7;19,3;60;52;57;;;;
2024/01/03;1500 UTC;0;949,2;950;949,2;3302,7;32,5;19,4;32,6;29,7;20,8;18,9;57;46;46;;;;
2024/01/03;1600 UTC;0;948,4;949,2;948,4;3034,6;33,5;18,6;33,8;31,8;19,6;18,2;47;40;42;;;;
2024/01/03;1700 UTC;0;947,6;948,4;947,6;2381;33,4;18,5;34,8;32,8;19,5;16,8;43;37;41;;;;
2024/01/03;1800 UTC;0;946,4;947,6;946,4;1890,1;33,4;17,5;34,9;33,4;18,8;17,1;42;37;39;;;;
2024/01/03;1900 UTC;0;945,8;946,4;945,7;900,5;32,9;17;33,4;32,8;17,9;17;41;38;39;;;;
2024/01/03;2000 UTC;0;946,2;946,4;945,6;329,9;28,9;19,2;33;28,9;19,2;17;56;39;56;;;;
2024/01/03;2100 UTC;30,2;947,2;948,3;946,2;100,3;22,4;21,6;28,9;21,7;21,6;18,5;95;56;95;;;;
2024/01/03;2200 UTC;5;949;949;947,2;7,5;22,6;21,7;23,2;22,1;22,3;21,3;96;94;95;;;;
2024/01/03;2300 UTC;11,4;950,4;950,4;948,9;;22,3;21,5;22,9;22,1;22,1;21,3;96;95;96;;;;
2024/01/04;0000 UTC;1,6;950,5;950,6;950,1;;21,9;21,1;22,3;21,9;21,6;21,1;96;95;96;;;;
2024/01/04;0100 UTC;,2;950,6;950,8;950,5;;22,4;21,3;22,4;21,8;21,4;21,1;96;94;94;;;;
2024/01/04;0200 UTC;0;950,9;951,1;950,6;1,3;22,3;21;22,5;22,3;21,3;21;94;92;92;;;;
2024/01/04;0300 UTC;0;950,9;951,1;950,9;;21,9;20,7;22,3;21,9;21;20,7;93;92;93;;;;
2024/01/04;0400 UTC;0;950,4;951;950,3;;21,7;19,9;22;21,6;20,7;19,9;93;90;90;;;;
2024/01/04;0500 UTC;0;950;950,4;950;;21,3;19,7;21,7;21,3;19,9;19,6;90;89;90;;;;
2024/01/04;0600 UTC;0;949,5;950;949,4;;21,2;19,4;21,4;21,1;19,7;19,4;90;89;89;;;;
2024/01/04;0700 UTC;0;949,4;949,6;949,3;;20,7;19,1;21,2;20,7;19,3;19,1;91;89;91;;;;
2024/01/04;0800 UTC;0;949,6;949,6;949,3;;20,7;19,2;20,9;20,7;19,3;19,2;91;91;91;;;;
2024/01/04;0900 UTC;0;950,2;950,2;949,6;21,1;21,1;19,4;21,1;20,5;19,4;19,1;92;90;90;;;;
2024/01/04;1000 UTC;0;950,7;950,7;950,2;173,5;21,9;18,6;22,1;21,1;19,4;18,6;90;81;82;;;;
2024/01/04;1100 UTC;0;951,3;951,3;950,7;497,6;23,3;19,3;23,4;21,9;19,4;18,6;83;76;78;;;;
2024/01/04;1200 UTC;0;951,8;951,8;951,3;659,2;24,5;19,4;24,8;23,1;19,8;18,9;78;71;73;;;;
2024/01/04;1300 UTC;0;951,9;952,1;951,8;1223,7;25,5;18,9;26,2;24,5;20;18,6;74;67;67;;;;
2024/01/04;1400 UTC;0;951,5;951,9;951,5;1713,4;26,8;19,1;27;25,5;19,7;18,6;69;62;63;;;;
2024/01/04;1500 UTC;0;951,1;951,5;951,1;2234,4;27,6;19,1;28;26,7;19,7;18,4;63;58;60;;;;
2024/01/04;1600 UTC;0;950,6;951,1;950,6;3666,1;29,1;18,4;29,5;27,6;20,1;18,1;60;52;53;;;;
2024/01/04;1700 UTC;0;949,9;950,6;949,9;3674,7;30,1;18,2;30,8;29;19,6;18;56;49;49;;;;
2024/01/04;1800 UTC;0;949,2;950;949,2;3191;30,6;18,2;31,6;29,1;19,6;18;53;47;48;;;;
2024/01/04;1900 UTC;0;948,4;949,2;948,4;2572,8;31,2;18,6;31,8;30,3;19,8;17,9;51;44;47;;;;
2024/01/04;2000 UTC;0;947,8;948,4;947,8;1785,2;31,3;17,3;31,9;31;18,9;16,9;48;42;43;;;;
2024/01/04;2100 UTC;0;948,5;948,5;947,8;622,8;30,1;17,4;31,5;30,1;17,5;16,5;47;42;47;;;;
2024/01/04;2200 UTC;0;949,5;949,5;948,5;71,9;28,1;18,5;30,1;28,1;18,6;17,3;56;47;56;;;;
2024/01/04;2300 UTC;0;950,4;950,5;949,4;;25,8;19;28,1;25,8;19,1;18,5;66;56;66;;;;
2024/01/05;0000 UTC;0;951,2;951,2;950,4;;24;18,5;25,8;24;19;18,4;71;66;71;;;;
2024/01/05;0100 UTC;0;951,9;951,9;951,2;;22,9;18,5;24;22,9;18,6;18,5;77;71;77;;;;
2024/01/05;0200 UTC;0;951,9;952;951,8;;22,6;18,5;22,9;22,4;18,7;18,5;79;77;78;;;;
2024/01/05;0300 UTC;0;951,6;952;951,6;;21,9;18,3;22,6;21,9;18,6;18,3;80;78;80;;;;
2024/01/05;0400 UTC;0;951,1;951,6;950,9;;21,3;18,3;21,9;21,3;18,4;18,2;83;80;83;;;;
2024/01/05;0500 UTC;0;950,3;951,1;950,3;;21,1;18,3;21,3;21,1;18,4;18,3;85;83;84;;;;
2024/01/05;0600 UTC;0;949,9;950,3;949,8;;20,6;18,2;21,1;20,6;18,3;18,1;86;84;86;;;;
2024/01/05;0700 UTC;0;950;950;949,8;;20,1;18,3;20,6;20,1;18,3;18,1;89;86;89;;;;
2024/01/05;0800 UTC;0;950,6;950,6;950;;19,9;18,2;20,1;19,9;18,4;18,2;90;89;90;;;;
2024/01/05;0900 UTC;0;951,1;951,1;950,6;27,8;20,2;18,3;20,2;19,8;18,3;18,1;90;89;89;;;;
2024/01/05;1000 UTC;0;951,4;951,4;951;165,4;21,2;18,4;21,5;20,3;18,6;18,2;89;82;84;;;;
2024/01/05;1100 UTC;0;952;952;951,4;255,6;23;18,1;23,4;21,2;19;18,1;85;74;74;;;;
2024/01/05;1200 UTC;0;952,2;952,2;952;283,8;25,2;18,4;25,3;23;18,9;18,1;75;66;66;;;;
2024/01/05;1300 UTC;0;952;952,2;951,9;1160,4;26,9;18,7;27,3;25,1;19,3;18,2;66;60;61;;;;
2024/01/05;1400 UTC;0;951,6;952;951,6;3541,4;29;19,1;29,1;26,9;19,5;18,3;61;53;55;;;;
2024/01/05;1500 UTC;0;951;951,6;951;3849,2;30,1;18,9;30,2;28,5;19,4;17,8;56;49;51;;;;
2024/01/05;1600 UTC;0;950,6;951;950,6;3866,4;31,6;15,9;31,7;30,2;18,7;15,9;51;39;39;;;;
2024/01/05;1700 UTC;0;949,7;950,6;949,7;3472,9;31,8;15,7;32,5;31,3;17,2;15,3;43;36;38;;;;
2024/01/05;1800 UTC;0;948,8;949,7;948,8;2495,5;32,4;14,8;33,4;31,4;16,9;14,8;39;34;35;;;;
2024/01/05;1900 UTC;0;948,1;948,8;947,9;2505,1;31,9;16;33,3;31,7;16,9;14,8;39;34;39;;;;
