REGIAO:;SE
UF:;SP
ESTACAO:;BRAGANCA PAULISTA
CODIGO (WMO):;A744
LATITUDE:;-22,94916666
LONGITUDE:;-46,5261111
ALTITUDE:;891
DATA DE FUNDACAO:;20/12/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0100 UTC;0;917,2;917,2;916,6;;18,9;17,4;19,4;18,8;17,6;17,2;91;89;91;150;8,8;4,5;
2024/01/01;0200 UTC;0;917,2;917,5;917,1;;18,5;18;18,9;18,5;18;17,3;97;91;97;152;9,8;5,6;
2024/01/01;0300 UTC;0;916,8;917,2;916,7;;18,7;18,5;18,7;18,5;18,6;18;100;97;99;151;9,8;4,1;
2024/01/01;0400 UTC;0;916,7;916,8;916,6;;18,6;18,2;18,8;18,6;18,5;18;99;95;98;155;8,6;3,2;
2024/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0600 UTC;0;915,8;916,2;915,8;;18,1;18,1;18,3;18;18,2;18;100;100;100;154;5,4;1,5;
2024/01/01;0700 UTC;0;915,5;915,9;915,5;;18;17,9;18,2;17,9;18,2;17,8;100;100;100;161;4,1;2,1;
2024/01/01;0800 UTC;0;915,5;915,6;915,3;;17,9;17,9;18;17,8;18;17,8;100;100;100;159;5,7;3,1;
2024/01/01;0900 UTC;0;915,9;915,9;915,4;27;18;18;18;17,8;18;17,8;100;100;100;153;5,7;3,2;
2024/01/01;1000 UTC;0;916,2;916,2;915,8;201,1;18,2;18,2;18,2;18;18,2;18;100;100;100;152;7,6;4;
2024/01/01;1100 UTC;0;916,4;916,4;916,1;792,6;19,4;18,1;19,5;18,2;18,6;17,7;100;91;92;156;7;3,2;
2024/01/01;1200 UTC;0;916,8;916,8;916,4;1325,3;20,7;17,5;20,9;19,4;18,2;17,5;92;81;81;151;6,5;3,5;
2024/01/01;1300 UTC;0;916,9;917;916,8;2209,6;22,6;18,2;22,6;20,3;18,2;16,9;84;76;76;148;7;3,2;
2024/01/01;1400 UTC;0;916,7;916,9;916,7;2930,6;23,4;17,3;24,3;22,2;18,1;16,6;76;65;69;158;6,4;3,6;
2024/01/01;1500 UTC;0;916,4;916,8;916,4;2546,4;25,3;18,3;25,3;23,4;18,3;17,1;70;64;65;174;6,4;2,7;
2024/01/01;1600 UTC;0;915,9;916,4;915,9;3417,1;25,9;18;26,2;24,2;18,6;17;65;60;62;162;6,7;3;
2024/01/01;1700 UTC;0;914,9;915,9;914,9;3798,5;25,8;17,8;26,9;25,1;18,5;17,1;63;58;61;151;9,1;4,8;
2024/01/01;1800 UTC;0;914,2;914,9;914,2;3345,9;26,8;18,1;26,8;25,3;18,3;17;62;58;59;135;8,9;3;
2024/01/01;1900 UTC;0;913,7;914,2;913,7;2634,5;25,5;17,4;26,8;25,2;17,9;16,6;62;57;61;143;8,7;4,4;
2024/01/01;2000 UTC;0;913,8;913,9;913,7;1664,7;24,6;16,9;25,6;24,3;17,5;16,7;64;60;62;127;8,7;3,6;
2024/01/01;2100 UTC;0;913,9;913,9;913,8;865,9;22,8;17;24,8;22,8;17,2;16,5;70;62;70;152;10,2;5;
2024/01/01;2200 UTC;0;914,3;914,3;913,8;152,1;21,6;17,3;22,9;21,6;17,3;17;77;70;77;147;8,9;4,1;
2024/01/01;2300 UTC;0;914,7;914,7;914,3;;20,8;17,4;21,6;20,8;17,6;17,3;82;77;81;147;8,5;4,5;
2024/01/02;0000 UTC;0;915,6;915,6;914,7;;20,2;17,6;20,8;20,2;17,6;17,3;85;80;85;156;8,6;4,1;
2024/01/02;0100 UTC;0;916,1;916,1;915,6;;20;17,7;20,2;19,9;17,8;17,5;88;85;87;157;7,3;3,5;
2024/01/02;0200 UTC;0;916,4;916,5;916,1;;19,7;17,7;20,1;19,6;17,8;17,4;89;85;89;131;6,7;1,9;
2024/01/02;0300 UTC;0;915,9;916,5;915,9;;19,4;17,8;19,7;19,4;17,9;17,6;90;88;90;150;5,9;3,2;
2024/01/02;0400 UTC;0;915,3;915,9;915,3;;19,2;17,6;19,4;19,2;17,9;17,4;92;89;90;151;6,6;3,3;
2024/01/02;0500 UTC;0;914,8;915,2;914,8;;19,1;17,4;19,3;19,1;17,6;17,2;91;88;90;150;6,6;2,3;
2024/01/02;0600 UTC;0;914,3;914,9;914,3;;18,9;18,1;19,2;18,9;18,1;17,4;95;89;95;156;4,9;2,5;
2024/01/02;0700 UTC;0;914,4;914,5;914,3;;18,3;18,3;19;18,3;18,6;18;100;94;100;164;5,4;3,8;
2024/01/02;0800 UTC;0;914,6;914,6;914,4;;17,7;17,7;18,3;17,7;18,3;17,7;100;100;100;157;5,4;2,3;
2024/01/02;0900 UTC;0;914,9;914,9;914,6;80,8;18,2;18,2;18,2;17,5;18,2;17,5;100;100;100;145;3,8;1,8;
2024/01/02;1000 UTC;0;915,4;915,4;914,8;477,5;19,2;19;19,3;18,2;19,2;18,2;100;98;98;135;3,5;,2;
2024/01/02;1100 UTC;0;915,4;915,5;915,4;1329,3;22;17,8;22,2;19,1;19,8;17,7;100;76;77;42;2,8;1;
2024/01/02;1200 UTC;0;915,2;915,5;915,2;2309,4;24,4;17,5;24,5;22;18,4;16,8;77;65;65;8;3,9;1;
2024/01/02;1300 UTC;0;914,8;915,2;914,8;2666,6;26,5;18,3;26,5;24;18,5;17,2;68;60;61;24;3,9;,7;
2024/01/02;1400 UTC;0;914,3;914,8;914,3;2284,9;26,1;17;27,2;25,8;18,7;17;61;56;57;43;5,2;1,9;
2024/01/02;1500 UTC;0;913,8;914,3;913,8;2560;28,4;16,3;28,9;26,1;17,9;16,3;58;48;48;356;4,9;1,7;
2024/01/02;1600 UTC;0;913,2;913,9;913,2;3535,5;29,2;16,2;30,1;28,2;17,3;15,5;50;43;46;323;6;2,3;
2024/01/02;1700 UTC;0;912,6;913,2;912,6;2976,3;29,4;15,5;30,5;28,9;16,5;14,8;45;41;43;12;6;1,3;
2024/01/02;1800 UTC;0;911,8;912,6;911,8;3382,8;29,4;16,8;31,3;29,2;18,5;14,8;51;38;47;154;6,7;3,5;
2024/01/02;1900 UTC;0;911,2;911,8;911,2;1412,9;28,3;18,2;29,6;28,3;19;16,5;55;46;54;165;7,7;5,1;
2024/01/02;2000 UTC;0;911,2;911,2;911;1156,5;27,4;17,9;28,6;27,3;19;17,8;58;54;56;164;8,3;4,6;
2024/01/02;2100 UTC;0;912,1;912,1;911,2;247,8;22,8;19,3;27,3;22,8;19,9;17,8;81;56;80;168;11,3;6;
2024/01/02;2200 UTC;0;913,2;913,2;912,1;93,4;21,6;19,1;22,8;21,6;19,3;18,4;85;80;85;153;11;4,7;
2024/01/02;2300 UTC;0;914;914;913,2;;21,3;18,6;21,6;21,2;19,3;18,4;87;84;85;142;9,4;4,1;
2024/01/03;0000 UTC;0;914,3;914,3;913,9;;20,5;19,7;21,3;20,5;19,7;18,7;95;85;95;141;10;4,5;
2024/01/03;0100 UTC;0;914,3;914,5;914;;20,1;19,9;20,5;20,1;20,5;19,8;100;95;98;125;9,7;1,8;
2024/01/03;0200 UTC;0;914,4;914,5;914,3;;19,6;19,6;20,1;19,6;20;19,6;100;98;100;144;6,6;2,2;
2024/01/03;0300 UTC;0;914;914,4;913,8;;19,6;19,6;19,8;19,6;19,8;19,6;100;100;100;136;6,2;1,5;
2024/01/03;0400 UTC;0;913,5;914;913,4;;19,7;19,7;20;19,6;20;19,6;100;100;100;131;4,9;1,1;
2024/01/03;0500 UTC;0;913,1;913,6;913;;19,8;19,8;20,3;19,7;20,2;19,7;100;100;100;147;4,1;2,2;
2024/01/03;0600 UTC;0;912,6;913,1;912,6;;20,1;20,1;20,3;19,7;20,3;19,7;100;100;100;106;4,1;,1;
2024/01/03;0700 UTC;0;912,6;912,7;912,5;;21;19,8;21,3;20,1;20,4;19,5;100;89;93;289;2,4;0;
2024/01/03;0800 UTC;0;912,7;912,9;912,6;;21,1;20;21,2;20,7;20,5;19,7;98;92;94;93;1,8;,2;
2024/01/03;0900 UTC;0;913,3;913,3;912,6;43,1;21,6;19,9;21,6;20,9;20,4;19,9;97;90;90;59;5;,2;
2024/01/03;1000 UTC;0;913,7;913,7;913,3;534,3;22,7;19,7;22,8;21,6;20,1;19,4;90;82;83;59;5,8;3,1;
