REGIAO:;SE
UF:;SP
ESTACAO:;PRADOPOLIS
CODIGO (WMO):;A747
LATITUDE:;-21,33833333
LONGITUDE:;-48,11388888
ALTITUDE:;540,41
DATA DE FUNDACAO:;22/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;951,1;951,1;950,2;;22,3;19,9;23,2;22,2;20,3;19,7;86;84;86;250;2,9;,9;
2024/01/01;0100 UTC;0;952,4;952,4;951,1;;22,2;20,4;22,5;22,1;20,5;19,8;90;86;90;248;2,7;,1;
2024/01/01;0200 UTC;0;952,3;952,5;952,3;;22,9;20,7;22,9;22,1;20,7;20,3;90;87;87;204;2,4;,3;
2024/01/01;0300 UTC;0;951,8;952,3;951,8;;22,4;20,4;23;22,2;20,7;20;89;87;89;227;1,3;0;
2024/01/01;0400 UTC;0;951,6;951,8;951,5;;22,8;20,7;22,8;22,4;20,7;20,4;89;87;88;197;1,4;0;
2024/01/01;0500 UTC;0;951,1;951,6;951,1;;22,4;20;22,8;22,3;20,7;20;89;86;86;206;2,5;1,8;
2024/01/01;0600 UTC;0;950,7;951,1;950,7;;22,1;18,7;22,4;22;20;18,7;86;81;81;198;3,5;1,9;
2024/01/01;0700 UTC;0;950,3;950,7;950,3;;21,4;18,4;22,1;21,4;18,7;18,3;83;81;83;218;3,5;1,1;
2024/01/01;0800 UTC;0;950,7;950,7;950,2;;21,3;18,3;21,5;21,1;18,4;18;83;82;83;200;2,6;,5;
2024/01/01;0900 UTC;0;950,6;950,8;950,4;6,5;21;18,5;21,3;20,8;18,7;18,1;86;83;85;194;2;0;
2024/01/01;1000 UTC;0;951;951;950,6;99,9;21,4;18,9;21,4;21;18,9;18,5;87;85;86;208;2,2;,5;
2024/01/01;1100 UTC;0;951,9;951,9;951;273,2;22,1;19,3;22,2;21,4;19,5;18,9;86;84;84;195;3,1;2;
2024/01/01;1200 UTC;0;952,3;952,4;951,9;706,3;23,7;19,8;23,9;22;20,2;19,1;84;79;79;221;3,7;,1;
2024/01/01;1300 UTC;0;952,6;952,6;952,2;1293,8;25;20,3;25,2;23,7;20,7;19,7;79;74;75;243;4,1;2;
2024/01/01;1400 UTC;0;952,5;952,6;952,5;857,1;25,2;20;25,7;25;20,8;20;76;73;73;220;3,7;1;
2024/01/01;1500 UTC;0;952;952,6;952;756,3;26,1;20,4;26,1;25,2;20,7;20,1;74;71;71;204;3,3;1;
2024/01/01;1600 UTC;0;950,9;952;950,9;1890,2;27,4;20,7;27,6;26,1;21,2;20,2;72;66;67;217;3,6;1,3;
2024/01/01;1700 UTC;0;950;950,9;950;3164;28,7;20,9;29,3;27,2;21,7;20;67;59;63;240;4,7;2,1;
