REGIAO:;SE
UF:;SP
ESTACAO:;BEBEDOURO
CODIGO (WMO):;A764
LATITUDE:;-20,94805555
LONGITUDE:;-48,47138888
ALTITUDE:;542
DATA DE FUNDACAO:;27/10/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;950,5;950,5;949,8;;23;21,7;24,1;23;22;21,3;92;85;92;18;3,2;,8;
2024/01/01;0100 UTC;0;950,9;950,9;950,5;;24;21,9;24;23;22;21,5;92;88;88;337;2,2;,9;
2024/01/01;0200 UTC;0;951,5;951,5;950,9;;23,8;21,8;24,3;23,4;22;21,7;91;86;89;47;2,8;1,6;
2024/01/01;0300 UTC;0;951,3;951,5;951,3;;22,1;21,4;23,8;22,1;21,8;21,4;95;89;95;179;3,9;1;
2024/01/01;0400 UTC;0;951,2;951,3;951;;22;21,3;22,2;22;21,4;21,3;96;95;96;151;2,7;,7;
2024/01/01;0500 UTC;0;950,7;951,2;950,7;;22,1;21,2;22,2;21,9;21,4;21,2;96;94;94;138;3,3;,7;
2024/01/01;0600 UTC;0;950,3;950,7;950,3;;22;21,2;22,1;21,9;21,3;21,1;96;94;95;331;1,7;,4;
2024/01/01;0700 UTC;0;949,9;950,3;949,8;;21,9;21,3;22;21,9;21,3;21,1;96;95;96;161;1,8;,6;
2024/01/01;0800 UTC;0;950;950;949,8;;21,9;21,1;22,2;21,9;21,3;21;96;93;95;160;2,4;,8;
2024/01/01;0900 UTC;0;950,1;950,2;949,9;;21,5;20,1;21,9;21,5;21,1;20,1;95;92;92;139;2,4;,9;
2024/01/01;1000 UTC;0;950,4;950,4;949,7;;21,9;20,7;21,9;21,5;20,7;19,6;93;88;93;174;2,8;,5;
2024/01/01;1100 UTC;0;951;951;950,4;455,8;23,3;20,4;23,5;21,9;21,3;20,1;93;83;84;143;3,1;,8;
2024/01/01;1200 UTC;0;951,8;951,8;951;4305,2;24,6;21,3;24,7;23,3;21,7;20,5;86;81;82;154;2,4;,4;
2024/01/01;1300 UTC;0;952;952,1;951,7;6492,3;24,4;21,2;24,9;24,4;22,1;20,7;85;79;82;151;2,8;,9;
2024/01/01;1400 UTC;0;951,9;952,1;951,9;4003,4;26,1;21,5;26,1;24,4;22,6;21,1;84;76;76;102;2,8;,9;
2024/01/01;1500 UTC;0;951,7;952;951,7;3710,5;26;21,1;26,4;25,7;22,2;21;80;74;75;6;3;1,2;
2024/01/01;1600 UTC;0;950,7;951,7;950,7;829;28,2;22,8;28,2;26;23,4;21,1;78;70;72;203;2,8;1,3;
2024/01/01;1700 UTC;,2;949,6;950,7;949,6;;28,9;21,8;29,4;28,2;23,7;21,4;76;64;66;69;3,9;,5;
2024/01/01;1800 UTC;0;948,4;949,6;948,4;338,5;31,5;22,9;31,9;28,9;24,2;21,2;70;58;60;184;3,8;1,3;
2024/01/01;1900 UTC;0;947,8;948,4;947,8;;31,4;21,9;33;30,9;23,7;20,2;64;48;57;112;4,6;1,8;
2024/01/01;2000 UTC;0;947,4;947,8;947,4;1482,9;29,4;21,7;31,4;29,2;22,3;21,1;64;57;63;51;5,2;2,7;
2024/01/01;2100 UTC;,2;947,4;947,6;947,3;50,8;24,9;23,1;29,4;24,9;23,1;21,6;90;63;90;155;6,9;,9;
2024/01/01;2200 UTC;,2;948,3;948,3;947,4;98,3;25,6;21,7;26,1;24,7;23,6;21,5;92;77;79;33;4,6;1,7;
2024/01/01;2300 UTC;0;948,9;948,9;948,3;;24,8;20,9;25,6;24,7;22,1;20,9;85;78;79;29;4,5;1,4;
2024/01/02;0000 UTC;0;949,8;949,8;948,9;;24,1;20,9;24,8;23,7;21,8;20,8;87;79;83;40;3,1;1,5;
2024/01/02;0100 UTC;0;950,3;950,3;949,8;;22,9;20,9;24;22,8;21,2;20,6;89;82;88;38;2,7;,6;
2024/01/02;0200 UTC;0;950,7;950,7;950,3;;22,5;20,7;22,9;21,7;21;20,5;94;88;90;14;2,2;1;
2024/01/02;0300 UTC;0;950,6;950,7;950,4;;21,9;20,3;22,7;21,9;20,8;20,3;92;88;91;340;2,8;,7;
2024/01/02;0400 UTC;0;950,1;950,6;950,1;;20,6;19,9;22;20,6;20,4;19,8;95;90;95;136;2,2;,7;
2024/01/02;0500 UTC;0;949,4;950,1;949,4;;20;19,3;20,7;20;19,9;19,3;96;95;96;214;1,3;,4;
2024/01/02;0600 UTC;0;949,3;949,5;949,3;;20;19,4;20,4;19,8;19,8;19,2;97;96;96;157;1,6;,5;
2024/01/02;0700 UTC;0;949;949,3;948,9;;19,8;19,3;20;19,6;19,4;19;97;96;97;182;1,8;,4;
2024/01/02;0800 UTC;0;949,5;949,5;948,9;;19,5;19;19,8;19,4;19,2;18,8;97;97;97;164;1,5;,7;
2024/01/02;0900 UTC;0;949,9;950;949,4;;19,8;19,3;19,8;19,4;19,3;18,9;97;97;97;170;1,5;,6;
2024/01/02;1000 UTC;0;950,1;950,1;949,9;;21,8;21,3;21,8;19,8;21,3;19,3;98;97;97;184;1,8;,7;
2024/01/02;1100 UTC;0;950,6;950,7;950,1;;24,9;21,7;24,9;21,8;22,3;20,9;97;81;83;124;4,3;1,6;
2024/01/02;1200 UTC;0;950,2;950,6;950,2;3223,8;27,1;21,2;27,4;24,6;22,2;21,1;82;69;70;73;5,3;2,8;
2024/01/02;1300 UTC;0;949,7;950,2;949,7;5000,9;28,6;21,1;29,2;27,1;22,1;20,8;72;61;64;53;5,6;2,9;
2024/01/02;1400 UTC;0;949,4;949,7;949,4;5715,4;29,6;21,4;29,9;27,8;21,8;20,5;68;60;61;24;5,9;2,2;
2024/01/02;1500 UTC;0;948,7;949,4;948,7;2198;29,5;21,1;30,8;28,8;22,3;20,3;62;56;61;8;4,9;2,1;
2024/01/02;1600 UTC;0;948,1;948,7;948,1;5044,9;30,2;21,7;32,3;29,5;22,7;19,7;62;51;61;113;4,2;1,2;
2024/01/02;1700 UTC;0;947,3;948,1;947,3;5274,8;30,3;22,2;33;30,1;23,8;20,2;65;51;62;181;4,5;1,8;
2024/01/02;1800 UTC;0;946,4;947,3;946,4;4682,9;30;23,3;31,3;29,4;24,6;21,5;71;56;67;213;4,5;1;
2024/01/02;1900 UTC;0;945,4;946,4;945,4;4158,5;32,6;20,3;33,9;30;25,2;19,5;75;44;48;155;3,4;,8;
2024/01/02;2000 UTC;0;945,4;945,6;945,3;1745,5;29,6;21,9;33,3;29,6;22;19,7;63;46;63;107;5,9;1,8;
2024/01/02;2100 UTC;,2;945,9;945,9;945,4;1706,6;27,2;22,7;29,6;26,7;24,7;21,9;88;63;77;51;6,3;2,1;
2024/01/02;2200 UTC;0;946,6;946,6;945,9;2720,8;25,6;22,6;27,2;25,6;22,9;22;84;74;84;234;4,4;,5;
2024/01/02;2300 UTC;0;947,5;947,5;946,5;1149;24,7;21,7;26,4;24,6;22,8;21,6;85;78;84;175;5,1;,9;
2024/01/03;0000 UTC;0;948;948;947,5;6,4;24,1;22;24,9;23,6;22,1;21,6;91;83;88;115;2,7;,9;
2024/01/03;0100 UTC;0;948,4;948,5;948;;23,5;22,1;24,2;23,5;22,3;21,9;92;87;92;145;1,9;,6;
2024/01/03;0200 UTC;0;948,4;948,6;948,3;;23,1;21,8;23,8;23,1;22,1;21,6;92;88;92;226;1,9;,5;
2024/01/03;0300 UTC;0;948,6;948,6;948,4;;22,9;21,5;23,6;22,9;22;21,3;93;87;92;159;1,5;,6;
2024/01/03;0400 UTC;0;948,2;948,6;948,2;;23;21,4;23;22,7;21,6;21,1;93;89;91;254;1,8;,3;
2024/01/03;0500 UTC;0;947,4;948,2;947,4;;22,6;20,9;23,3;22,5;21,4;20,8;91;86;90;171;2,2;,7;
2024/01/03;0600 UTC;0;947,5;947,6;947,4;;22,7;21;22,8;22,5;21,1;20,7;92;89;90;207;1,7;,4;
2024/01/03;0700 UTC;0;947,1;947,5;947;;23,3;20,7;23,4;22,7;21;20,7;91;85;85;103;3;1,1;
2024/01/03;0800 UTC;0;947,6;947,6;947,1;;22,8;20,8;23,3;22,6;20,9;20,7;90;85;89;116;3,4;,6;
2024/01/03;0900 UTC;0;948;948;947,6;;23,1;21,1;23,5;22,3;21,1;20,8;92;85;89;204;3,5;,7;
2024/01/03;1000 UTC;0;948,8;948,8;948;;24;21,2;24;22,5;21,8;21;92;84;84;73;2,3;1;
2024/01/03;1100 UTC;0;949,3;949,3;948,8;2680,1;26,7;21,7;26,7;24;22,6;21;86;73;74;58;2,9;1,2;
2024/01/03;1200 UTC;0;949,3;949,4;949,2;4191,2;27,2;21;27,6;26,7;21,8;20,6;75;67;69;25;5,3;2,4;
2024/01/03;1300 UTC;0;949,2;949,4;949,2;3622,6;27,5;21,2;27,6;27;21,4;20,8;70;68;69;25;6,1;2,6;
2024/01/03;1400 UTC;,2;948,9;949,2;948,8;3530,7;29,2;21,8;29,3;27,4;22,2;21;71;64;64;31;6,1;2,1;
2024/01/03;1500 UTC;0;948,3;948,9;948,3;2954,5;29,7;22,1;29,8;28,9;22,2;21,2;66;62;64;14;5,1;2,5;
2024/01/03;1600 UTC;0;948;948,3;948;2376,2;31,9;20,8;32,8;29,5;23;20,8;64;51;52;34;5,1;2,2;
2024/01/03;1700 UTC;0;947,2;948;947,2;2150,8;31,3;22,2;32;30,6;22,7;20,9;60;52;59;14;4,5;1,1;
2024/01/03;1800 UTC;0;945,9;947,2;945,9;739,9;33;20,3;33,8;31,3;22,8;20,3;59;46;47;263;4,4;1,7;
2024/01/03;1900 UTC;0;945,1;945,9;945;225,1;32;22;34,5;31,8;22,4;20,3;56;46;56;356;5,6;2;
2024/01/03;2000 UTC;0;945;945,2;944,9;6,1;30,1;21,8;32;30,1;22,5;21,4;63;54;61;352;6,4;2;
2024/01/03;2100 UTC;0;945,7;945,7;944,9;115,9;29,4;22,4;30,1;29,4;22,9;21,9;68;61;66;5;4,5;1,6;
2024/01/03;2200 UTC;0;947,4;947,4;945,7;156,4;24,6;22,1;29,4;24,6;22,7;21,1;86;66;86;268;8,9;1,5;
2024/01/03;2300 UTC;0;948;948;947,4;;23,8;21,7;24,6;23,7;22,2;21,7;90;85;88;103;6,1;1,5;
2024/01/04;0000 UTC;1,6;949,1;949,1;948;;20,7;19,7;24;20,7;21,8;18,8;94;75;94;178;9,7;1,4;
2024/01/04;0100 UTC;,4;949;949,4;949;;21,9;21,3;22;20,7;21,3;19,7;96;94;96;193;4,6;,9;
2024/01/04;0200 UTC;,2;948,8;949;948,7;;21,8;21,1;21,9;21,8;21,3;21,1;96;96;96;187;4,5;1,3;
2024/01/04;0300 UTC;0;948,8;949,1;948,8;;21,3;20,5;21,8;21,3;21,1;20,5;96;95;95;176;5;1,2;
2024/01/04;0400 UTC;0;948,9;948,9;948,7;6,7;21,5;20,8;21,5;21,2;20,8;20,4;96;95;96;186;3,9;1,1;
2024/01/04;0500 UTC;1;948,6;949,2;948,6;37,2;21,7;21,1;21,8;21,5;21,1;20,8;96;96;96;253;2,7;,3;
2024/01/04;0600 UTC;2,6;947,7;948,7;947,7;42;21,6;20,9;22,1;21,6;21,4;20,9;97;95;95;147;3,4;,6;
2024/01/04;0700 UTC;0;947,2;947,7;947,2;2,1;21,1;20,6;21,6;21,1;20,8;20,6;97;95;97;175;2,9;,7;
2024/01/04;0800 UTC;0;947,7;947,7;947,2;;21,3;20,7;21,3;21,1;20,8;20,6;97;97;97;180;2,6;,4;
2024/01/04;0900 UTC;0;948,8;948,8;947,7;;20,9;20,4;21,4;20,9;20,9;20,4;97;97;97;186;1,7;,5;
2024/01/04;1000 UTC;0;949,6;949,6;948,8;;21,5;21;21,5;20,9;21;20,4;97;97;97;157;1,9;,7;
2024/01/04;1100 UTC;0;950;950;949,6;;22,9;21,2;22,9;21,5;21,8;20,9;97;89;90;135;4,4;1,7;
