REGIAO:;SE
UF:;SP
ESTACAO:;TUPA
CODIGO (WMO):;A768
LATITUDE:;-21,927251
LONGITUDE:;-50,490251
ALTITUDE:;498
DATA DE FUNDACAO:;12/05/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;955,3;955,3;954,3;;28,2;14,2;28,9;28,2;14,5;13,7;43;40;42;119;4,7;1,9;
2024/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0400 UTC;0;956,1;956,3;956,1;;23,9;22,3;24,5;23,9;22,3;21,8;91;85;91;109;4;,9;
2024/01/01;0500 UTC;0;955,6;956,1;955,5;;24;18,7;24,4;23,8;22,3;18,7;91;72;72;107;5,5;3,6;
2024/01/01;0600 UTC;0;955,3;955,6;955,3;;23,2;17,2;24;23,2;18,7;17,2;73;69;69;125;6,1;3;
2024/01/01;0700 UTC;0;954,9;955,3;954,8;;22,6;17;23,2;22,6;17,3;16,9;71;68;71;128;6;2,6;
2024/01/01;0800 UTC;0;955;955,1;954,9;;21,4;17,3;22,7;21,4;17,4;16,8;77;70;77;175;5,2;3,1;
2024/01/01;0900 UTC;0;955,5;955,5;955;11,6;20,8;17,2;21,4;20,8;17,3;17,1;80;77;79;168;8;3,9;
2024/01/01;1000 UTC;0;956;956;955,4;270,1;21,1;17,4;21,1;20,7;17,4;17,1;80;79;79;161;8;4;
2024/01/01;1100 UTC;0;956,3;956,4;956;1140;23,2;17,5;23,3;21,1;17,7;17,1;79;69;71;138;6,7;3,3;
2024/01/01;1200 UTC;0;956,8;956,8;956,3;2006,2;25;17,3;25,6;23,2;18;16,9;71;61;62;119;6,7;3,9;
2024/01/01;1300 UTC;0;957;957,1;956,8;2970,2;27,1;17,3;27,3;25;18,3;17;63;55;55;90;6,9;4,5;
2024/01/01;1400 UTC;0;956,6;957;956,6;3506,5;29;17,8;29,1;26,7;18,5;17;57;49;51;73;7,9;4,6;
2024/01/01;1500 UTC;0;956,1;956,7;956,1;3862,7;30,3;17,2;30,3;28,6;18;16,2;52;44;45;80;7,9;3,7;
2024/01/01;1600 UTC;0;955,2;956,1;955,2;3979,3;31;16,2;31,7;29,7;17,7;15,6;46;39;41;67;7,2;3,5;
2024/01/01;1700 UTC;0;953,9;955,2;953,9;3983,8;32,6;16,6;32,8;30,8;17,4;15,9;43;38;39;70;6,6;2;
2024/01/01;1800 UTC;0;953,1;953,9;953,1;2858,4;31,8;16,3;32,8;31,3;17,8;16,1;43;38;39;115;7,7;2,3;
2024/01/01;1900 UTC;0;952,3;953,1;952,3;2036;31,4;16,4;32,9;31,3;17,9;15,6;42;38;41;81;5,5;2;
2024/01/01;2000 UTC;0;951,2;952,3;951,2;1203,6;32,9;15;33,5;31,1;16,8;14,5;43;33;34;63;4,5;1,8;
2024/01/01;2100 UTC;0;951,2;951,2;951,1;1003,6;32,2;15;33;31,8;17,1;13,2;40;31;35;61;4,5;2;
2024/01/01;2200 UTC;0;952,1;952,1;951,2;268,8;30,4;15,2;32,2;30,4;16,3;14,7;41;35;40;123;3,5;1,5;
2024/01/01;2300 UTC;0;953,2;953,2;952,2;;30;14,8;30,4;29,9;16,3;14,8;43;39;40;138;4,8;2,6;
2024/01/02;0000 UTC;0;953,8;953,8;953,2;;29,1;14,1;30,1;28,8;15,5;14,1;44;39;40;144;5,8;3,4;
2024/01/02;0100 UTC;0;954,6;954,6;953,8;;28,1;15;29,1;28;15,2;14,2;46;40;45;129;6,8;4,2;
2024/01/02;0200 UTC;0;955,3;955,4;954,6;;27,4;15,5;28,3;27,4;15,5;14,7;48;44;48;77;8;3,1;
2024/01/02;0300 UTC;0;955,1;955,4;955,1;;26,2;15,4;27,5;26,2;15,6;14,9;52;46;51;105;5,6;3;
